station,wind_speed,wind_direction,timestamp
VVTS,3.45,320,1588896000
VVTS,4.6,320,1588897800
VVTS,2.3,,1588899600
VVTS,1.15,10,1588901400
VVTS,1.15,,1588903200
VVTS,3.45,,1588905000
VVTS,2.3,,1588908600
VVTS,3.45,,1588910400
VVTS,4.6,,1588912200
VVTS,5.75,170,1588914000
VVTS,6.9,180,1588915800
VVTS,5.75,130,1588917600
VVTS,6.9,190,1588919400
VVTS,8.05,170,1588921200
VVTS,4.6,180,1588923000
VVTS,6.9,180,1588924800
VVTS,10.35,160,1588926600
VVTS,11.5,180,1588928400
VVTS,11.5,170,1588930200
VVTS,10.35,180,1588932000
VVTS,10.35,180,1588933800
VVTS,9.2,150,1588935600
VVTS,9.2,150,1588937400
VVTS,11.5,140,1588939200
VVTS,9.2,150,1588941000
VVTS,8.05,160,1588942800
VVTS,11.5,170,1588944600
VVTS,11.5,160,1588946400
VVTS,8.05,160,1588948200
VVTS,9.2,150,1588950000
VVTS,8.05,150,1588951800
VVTS,6.9,150,1588953600
VVTS,6.9,170,1588955400
VVTS,10.35,180,1588957200
VVTS,8.05,180,1588959000
VVTS,8.05,180,1588960800
VVTS,5.75,180,1588962600
VVTS,6.9,170,1588964400
VVTS,8.05,180,1588966200
VVTS,6.9,170,1588968000
VVTS,6.9,200,1588969800
VVTS,6.9,190,1588971600
VVTS,4.6,180,1588973400
VVTS,4.6,180,1588975200
VVTS,3.45,,1588977000
VVTS,4.6,170,1588978800
VVTS,5.75,160,1588980600
VVTS,4.6,160,1588982400
VVTS,4.6,180,1588984200
VVTS,5.75,190,1588986000
VVTS,6.9,180,1588987800
VVTS,3.45,,1588989600
VVTS,2.3,,1588991400
VVTS,4.6,,1588993200
VVTS,3.45,,1588995000
VVTS,5.75,150,1588996800
VVTS,5.75,,1588998600
VVTS,4.6,,1589000400
VVTS,5.75,150,1589002200
VVTS,6.9,170,1589004000
VVTS,4.6,190,1589005800
VVTS,6.9,150,1589007600
VVTS,5.75,180,1589009400
VVTS,6.9,190,1589011200
VVTS,6.9,160,1589013000
VVTS,8.05,180,1589014800
VVTS,10.35,180,1589016600
VVTS,11.5,160,1589018400
VVTS,11.5,170,1589020200
VVTS,10.35,160,1589022000
VVTS,9.2,170,1589023800
VVTS,8.05,160,1589025600
VVTS,10.35,160,1589027400
VVTS,10.35,150,1589029200
VVTS,10.35,170,1589031000
VVTS,9.2,150,1589032800
VVTS,9.2,150,1589034600
VVTS,8.05,160,1589036400
VVTS,6.9,160,1589038200
VVTS,9.2,150,1589040000
VVTS,8.05,170,1589041800
VVTS,6.9,160,1589043600
VVTS,8.05,160,1589045400
VVTS,9.2,150,1589047200
VVTS,6.9,160,1589049000
VVTS,6.9,160,1589050800
VVTS,6.9,160,1589052600
VVTS,5.75,150,1589054400
VVTS,4.6,120,1589056200
VVTS,3.45,,1589058000
VVTS,4.6,140,1589059800
VVTS,6.9,170,1589061600
VVTS,4.6,150,1589063400
VVTS,4.6,160,1589065200
VVTS,8.05,170,1589067000
VVTS,8.05,160,1589068800
VVTS,6.9,160,1589070600
VVTS,5.75,170,1589072400
VVTS,4.6,180,1589074200
VVTS,8.05,150,1589076000
VVTS,8.05,190,1589077800
VVTS,5.75,150,1589079600
VVTS,8.05,180,1589081400
VVTS,5.75,140,1589083200
VVTS,6.9,200,1589085000
VVTS,6.9,160,1589086800
VVTS,6.9,160,1589088600
VVTS,5.75,210,1589090400
VVTS,5.75,,1589092200
VVTS,5.75,,1589094000
VVTS,4.6,,1589095800
VVTS,8.05,160,1589097600
VVTS,10.35,160,1589099400
VVTS,11.5,170,1589101200
VVTS,11.5,180,1589103000
VVTS,11.5,180,1589104800
VVTS,12.65,170,1589106600
VVTS,9.2,170,1589108400
VVTS,11.5,160,1589110200
VVTS,10.35,150,1589112000
VVTS,9.2,160,1589113800
VVTS,10.35,160,1589115600
VVTS,9.2,150,1589117400
VVTS,12.65,140,1589119200
VVTS,11.5,130,1589121000
VVTS,9.2,140,1589122800
VVTS,8.05,140,1589124600
VVTS,6.9,150,1589126400
VVTS,8.05,160,1589128200
VVTS,9.2,150,1589130000
VVTS,9.2,140,1589131800
VVTS,6.9,170,1589133600
VVTS,6.9,170,1589135400
VVTS,8.05,170,1589137200
VVTS,5.75,180,1589139000
VVTS,6.9,180,1589140800
VVTS,6.9,180,1589142600
VVTS,6.9,150,1589144400
VVTS,5.75,180,1589146200
VVTS,5.75,170,1589148000
VVTS,6.9,150,1589149800
VVTS,6.9,160,1589151600
VVTS,6.9,140,1589153400
VVTS,9.2,130,1589155200
VVTS,9.2,140,1589157000
VVTS,8.05,130,1589158800
VVTS,9.2,130,1589160600
VVTS,8.05,130,1589162400
VVTS,8.05,140,1589164200
VVTS,8.05,120,1589166000
VVTS,8.05,130,1589167800
VVTS,6.9,110,1589169600
VVTS,6.9,170,1589171400
VVTS,5.75,200,1589173200
VVTS,6.9,160,1589175000
VVTS,5.75,210,1589176800
VVTS,5.75,170,1589178600
VVTS,4.6,190,1589180400
VVTS,5.75,140,1589182200
VVTS,3.45,,1589184000
VVTS,5.75,150,1589185800
VVTS,8.05,170,1589187600
VVTS,6.9,160,1589189400
VVTS,9.2,170,1589191200
VVTS,8.05,140,1589193000
VVTS,8.05,160,1589194800
VVTS,6.9,150,1589196600
VVTS,8.05,170,1589198400
VVTS,6.9,140,1589200200
VVTS,6.9,160,1589202000
VVTS,8.05,150,1589203800
VVTS,6.9,180,1589205600
VVTS,4.6,170,1589207400
VVTS,4.6,160,1589209200
VVTS,5.75,150,1589211000
VVTS,4.6,130,1589212800
VVTS,6.9,130,1589214600
VVTS,6.9,130,1589216400
VVTS,4.6,140,1589218200
VVTS,3.45,,1589220000
VVTS,4.6,150,1589221800
VVTS,3.45,130,1589223600
VVTS,4.6,140,1589225400
VVTS,4.6,120,1589227200
VVTS,5.75,,1589229000
VVTS,3.45,,1589230800
VVTS,3.45,,1589232600
VVTS,6.9,130,1589234400
VVTS,3.45,,1589236200
VVTS,5.75,130,1589238000
VVTS,3.45,,1589239800
VVTS,4.6,130,1589241600
VVTS,4.6,130,1589243400
VVTS,3.45,,1589245200
VVTS,3.45,,1589247000
VVTS,2.3,,1589248800
VVTS,3.45,,1589250600
VVTS,2.3,,1589252400
VVTS,4.6,330,1589254200
VVTS,3.45,,1589256000
VVTS,2.3,,1589257800
VVTS,2.3,,1589259600
VVTS,4.6,200,1589261400
VVTS,4.6,,1589263200
VVTS,4.6,320,1589265000
VVTS,2.3,,1589266800
VVTS,2.3,,1589268600
VVTS,2.3,,1589270400
VVTS,9.2,130,1589272200
VVTS,10.35,150,1589274000
VVTS,10.35,150,1589275800
VVTS,9.2,150,1589277600
VVTS,10.35,130,1589279400
VVTS,11.5,130,1589281200
VVTS,10.35,140,1589283000
VVTS,11.5,140,1589284800
VVTS,10.35,140,1589286600
VVTS,8.05,150,1589288400
VVTS,9.2,120,1589290200
VVTS,11.5,140,1589292000
VVTS,10.35,140,1589293800
VVTS,10.35,130,1589295600
VVTS,8.05,130,1589297400
VVTS,6.9,120,1589299200
VVTS,9.2,130,1589301000
VVTS,9.2,130,1589302800
VVTS,10.35,130,1589304600
VVTS,8.05,150,1589306400
VVTS,8.05,140,1589308200
VVTS,6.9,140,1589310000
VVTS,9.2,140,1589311800
VVTS,8.05,150,1589313600
VVTS,6.9,130,1589315400
VVTS,5.75,140,1589317200
VVTS,8.05,130,1589319000
VVTS,5.75,130,1589320800
VVTS,5.75,110,1589322600
VVTS,4.6,110,1589324400
VVTS,4.6,70,1589326200
VVTS,4.6,90,1589328000
VVTS,8.05,110,1589329800
VVTS,5.75,110,1589331600
VVTS,8.05,120,1589333400
VVTS,6.9,120,1589335200
VVTS,5.75,160,1589337000
VVTS,6.9,150,1589338800
VVTS,6.9,130,1589340600
VVTS,6.9,110,1589342400
VVTS,6.9,110,1589344200
VVTS,3.45,,1589346000
VVTS,4.6,,1589347800
VVTS,8.05,170,1589349600
VVTS,6.9,190,1589351400
VVTS,10.35,170,1589353200
VVTS,11.5,180,1589355000
VVTS,10.35,180,1589356800
VVTS,9.2,160,1589358600
VVTS,12.65,140,1589360400
VVTS,12.65,150,1589362200
VVTS,11.5,160,1589364000
VVTS,11.5,160,1589365800
VVTS,9.2,150,1589367600
VVTS,12.65,150,1589369400
VVTS,9.2,150,1589371200
VVTS,11.5,150,1589373000
VVTS,10.35,170,1589374800
VVTS,10.35,140,1589376600
VVTS,9.2,160,1589378400
VVTS,8.05,160,1589380200
VVTS,9.2,150,1589382000
VVTS,9.2,160,1589383800
VVTS,8.05,150,1589385600
VVTS,6.9,150,1589387400
VVTS,8.05,140,1589389200
VVTS,8.05,130,1589391000
VVTS,8.05,120,1589392800
VVTS,5.75,130,1589394600
VVTS,5.75,140,1589396400
VVTS,5.75,150,1589398200
VVTS,4.6,110,1589400000
VVTS,5.75,110,1589401800
VVTS,6.9,110,1589403600
VVTS,6.9,100,1589405400
VVTS,4.6,130,1589407200
VVTS,8.05,100,1589409000
VVTS,6.9,100,1589410800
VVTS,5.75,100,1589412600
VVTS,8.05,90,1589414400
VVTS,8.05,110,1589416200
VVTS,11.5,90,1589418000
VVTS,10.35,110,1589419800
VVTS,12.65,100,1589421600
VVTS,9.2,110,1589423400
VVTS,8.05,80,1589425200
VVTS,6.9,100,1589427000
VVTS,6.9,100,1589428800
VVTS,5.75,80,1589430600
VVTS,5.75,,1589432400
VVTS,2.3,,1589434200
VVTS,3.45,,1589436000
VVTS,1.15,,1589437800
VVTS,3.45,,1589439600
VVTS,5.75,,1589441400
VVTS,10.35,150,1589443200
VVTS,10.35,150,1589445000
VVTS,13.8,140,1589446800
VVTS,12.65,160,1589448600
VVTS,12.65,150,1589450400
VVTS,13.8,150,1589452200
VVTS,12.65,150,1589454000
VVTS,10.35,150,1589455800
VVTS,9.2,150,1589457600
VVTS,9.2,140,1589459400
VVTS,8.05,150,1589461200
VVTS,9.2,130,1589463000
VVTS,8.05,130,1589464800
VVTS,6.9,140,1589466600
VVTS,5.75,120,1589468400
VVTS,5.75,130,1589470200
VVTS,6.9,140,1589472000
VVTS,6.9,140,1589473800
VVTS,5.75,150,1589475600
VVTS,8.05,130,1589477400
VVTS,6.9,130,1589479200
VVTS,6.9,130,1589481000
VVTS,5.75,150,1589482800
VVTS,4.6,130,1589484600
VVTS,6.9,140,1589486400
VVTS,4.6,130,1589488200
VVTS,4.6,140,1589490000
VVTS,3.45,150,1589491800
VVTS,3.45,,1589493600
VVTS,3.45,,1589495400
VVTS,3.45,80,1589497200
VVTS,5.75,100,1589499000
VVTS,4.6,110,1589500800
VVTS,5.75,140,1589502600
VVTS,8.05,110,1589504400
VVTS,9.2,120,1589506200
VVTS,6.9,120,1589508000
VVTS,6.9,170,1589509800
VVTS,9.2,160,1589511600
VVTS,6.9,160,1589513400
VVTS,6.9,,1589515200
VVTS,5.75,130,1589517000
VVTS,5.75,,1589518800
VVTS,6.9,150,1589520600
VVTS,4.6,,1589522400
VVTS,6.9,170,1589524200
VVTS,10.35,160,1589526000
VVTS,9.2,170,1589527800
VVTS,9.2,170,1589529600
VVTS,8.05,160,1589531400
VVTS,8.05,140,1589533200
VVTS,9.2,160,1589535000
VVTS,10.35,160,1589536800
VVTS,9.2,170,1589538600
VVTS,10.35,160,1589540400
VVTS,10.35,160,1589542200
VVTS,9.2,150,1589544000
VVTS,9.2,150,1589545800
VVTS,6.9,160,1589547600
VVTS,9.2,160,1589549400
VVTS,8.05,150,1589551200
VVTS,8.05,160,1589553000
VVTS,8.05,160,1589554800
VVTS,6.9,160,1589556600
VVTS,10.35,170,1589558400
VVTS,5.75,160,1589560200
VVTS,6.9,150,1589562000
VVTS,8.05,170,1589563800
VVTS,5.75,170,1589565600
VVTS,8.05,160,1589567400
VVTS,5.75,170,1589569200
VVTS,4.6,180,1589571000
VVTS,6.9,160,1589572800
VVTS,4.6,180,1589574600
VVTS,3.45,,1589576400
VVTS,11.5,200,1589578200
VVTS,9.2,250,1589580000
VVTS,3.45,,1589581800
VVTS,1.15,,1589583600
VVTS,1.15,,1589585400
VVTS,4.6,170,1589587200
