flight,date,flightO,dateO
VJ357,10-05-20,VJ357,10-05-20
VJ373,10-05-20,VJ373,10-05-20
VJ377,10-05-20,VJ377,10-05-20
VJ383,10-05-20,VJ383,10-05-20
VJ387,10-05-20,VJ387,10-05-20
VJ6137,10-05-20,VJ6137,10-05-20
VJ621,10-05-20,VJ621,10-05-20
VJ625,10-05-20,VJ625,10-05-20
VJ637,10-05-20,VJ637,10-05-20
VJ647,10-05-20,VJ647,10-05-20
VJ6542,10-05-20,VJ6542,10-05-20
VJ6561,10-05-20,VJ6561,10-05-20
VN1185,10-05-20,VN1185,10-05-20
VN1187,10-05-20,VN1187,10-05-20
VN1189,10-05-20,VN1189,10-05-20
VN119,10-05-20,VN119,10-05-20
VN121,10-05-20,VN121,10-05-20
VN125,10-05-20,VN125,10-05-20
VN1263,10-05-20,VN1263,10-05-20
VN1269,10-05-20,VN1269,10-05-20
VN1275,10-05-20,VN1275,10-05-20
VN1277,10-05-20,VN1277,10-05-20
VN135,10-05-20,VN135,10-05-20
VN137,10-05-20,VN137,10-05-20
VN1371,10-05-20,VN1371,10-05-20
VN1373,10-05-20,VN1373,10-05-20
VN1375,10-05-20,VN1375,10-05-20
VN1395,10-05-20,VN1395,10-05-20
VN1397,10-05-20,VN1397,10-05-20
VN1401,10-05-20,VN1401,10-05-20
VN1461,10-05-20,VN1461,10-05-20
VN1463,10-05-20,VN1463,10-05-20
VN1824,10-05-20,VN1824,10-05-20
VN1828,10-05-20,VN1828,10-05-20
VN207,10-05-20,VN207,10-05-20
VN209,10-05-20,VN209,10-05-20
VN211,10-05-20,VN211,10-05-20
VN215,10-05-20,VN215,10-05-20
VN217,10-05-20,VN217,10-05-20
VN221,10-05-20,VN221,10-05-20
VN243,10-05-20,VN243,10-05-20
VN251,10-05-20,VN251,10-05-20
VN257,10-05-20,VN257,10-05-20
VN263,10-05-20,VN263,10-05-20
VN269,10-05-20,VN269,10-05-20
VN275,10-05-20,VN275,10-05-20
VN283,10-05-20,VN283,10-05-20
VN30,10-05-20,VN30,10-05-20
VN301,10-05-20,VN301,10-05-20
VN321,10-05-20,VN321,10-05-20
VN595,10-05-20,VN595,10-05-20
VN6321,10-05-20,VN6321,10-05-20
VN7183,10-05-20,VN7183,10-05-20
VN7189,10-05-20,VN7189,10-05-20
VN7243,10-05-20,VN7243,10-05-20
VN7245,10-05-20,VN7245,10-05-20
VN7263,10-05-20,VN7263,10-05-20
VN7265,10-05-20,VN7265,10-05-20
VN7275,10-05-20,VN7275,10-05-20
VN7277,10-05-20,VN7277,10-05-20
VN7291,10-05-20,VN7291,10-05-20
VN7673,10-05-20,VN7673,10-05-20
3U8447,11-05-20,3U8447,11-05-20
BL463,11-05-20,BL463,11-05-20
BL513,11-05-20,BL513,11-05-20
BL571,11-05-20,BL571,11-05-20
BL769,11-05-20,BL769,11-05-20
BL775,11-05-20,BL775,11-05-20
BR391,11-05-20,BR391,11-05-20
CI781,11-05-20,CI781,11-05-20
CI783,11-05-20,CI783,11-05-20
CX799,11-05-20,CX799,11-05-20
FX5775,11-05-20,FX5775,11-05-20
FX6065,11-05-20,FX6065,11-05-20
KE683,11-05-20,KE683,11-05-20
LD562,11-05-20,LD562,11-05-20
QH1155,11-05-20,QH1155,11-05-20
QH1175,11-05-20,QH1175,11-05-20
QH1313,11-05-20,QH1313,11-05-20
QH151,11-05-20,QH151,11-05-20
QH1522,11-05-20,QH1522,11-05-20
QH1545,11-05-20,QH1545,11-05-20
QH157,11-05-20,QH157,11-05-20
QH201,11-05-20,QH201,11-05-20
QH205,11-05-20,QH205,11-05-20
QH211,11-05-20,QH211,11-05-20
QH219,11-05-20,QH219,11-05-20
QH9036,11-05-20,QH9036,11-05-20
QR8972,11-05-20,QR8972,11-05-20
SQ178,11-05-20,SQ178,11-05-20
VJ121,11-05-20,VJ121,11-05-20
VJ125,11-05-20,VJ125,11-05-20
VJ129,11-05-20,VJ129,11-05-20
VJ133,11-05-20,VJ133,11-05-20
VJ139,11-05-20,VJ139,11-05-20
VJ141,11-05-20,VJ141,11-05-20
VJ143,11-05-20,VJ143,11-05-20
VJ145,11-05-20,VJ145,11-05-20
VJ151,11-05-20,VJ151,11-05-20
VJ155,11-05-20,VJ155,11-05-20
VJ157,11-05-20,VJ157,11-05-20
VJ173,11-05-20,VJ173,11-05-20
VJ197,11-05-20,VJ197,11-05-20
VJ207,11-05-20,VJ207,11-05-20
VJ211,11-05-20,VJ211,11-05-20
VJ213,11-05-20,VJ213,11-05-20
VJ215,11-05-20,VJ215,11-05-20
VJ221,11-05-20,VJ221,11-05-20
VJ225,11-05-20,VJ225,11-05-20
VJ231,11-05-20,VJ231,11-05-20
VJ241,11-05-20,VJ241,11-05-20
VJ243,11-05-20,VJ243,11-05-20
VJ245,11-05-20,VJ245,11-05-20
VJ249,11-05-20,VJ249,11-05-20
VJ271,11-05-20,VJ271,11-05-20
VJ275,11-05-20,VJ275,11-05-20
VJ277,11-05-20,VJ277,11-05-20
VJ281,11-05-20,VJ281,11-05-20
VJ301,11-05-20,VJ301,11-05-20
VJ303,11-05-20,VJ303,11-05-20
VJ305,11-05-20,VJ305,11-05-20
VJ307,11-05-20,VJ307,11-05-20
VJ309,11-05-20,VJ309,11-05-20
VJ322,11-05-20,VJ322,11-05-20
VJ324,11-05-20,VJ324,11-05-20
VJ326,11-05-20,VJ326,11-05-20
VJ373,11-05-20,VJ373,11-05-20
VJ377,11-05-20,VJ377,11-05-20
VJ383,11-05-20,VJ383,11-05-20
VJ387,11-05-20,VJ387,11-05-20
VJ621,11-05-20,VJ621,11-05-20
VJ625,11-05-20,VJ625,11-05-20
VJ637,11-05-20,VJ637,11-05-20
VJ647,11-05-20,VJ647,11-05-20
VJ863,11-05-20,VJ863,11-05-20
VN1185,11-05-20,VN1185,11-05-20
VN1187,11-05-20,VN1187,11-05-20
VN1189,11-05-20,VN1189,11-05-20
VN119,11-05-20,VN119,11-05-20
VN121,11-05-20,VN121,11-05-20
VN125,11-05-20,VN125,11-05-20
VN1265,11-05-20,VN1265,11-05-20
VN1269,11-05-20,VN1269,11-05-20
VN1275,11-05-20,VN1275,11-05-20
VN1277,11-05-20,VN1277,11-05-20
VN135,11-05-20,VN135,11-05-20
VN137,11-05-20,VN137,11-05-20
VN1371,11-05-20,VN1371,11-05-20
VN1373,11-05-20,VN1373,11-05-20
VN1375,11-05-20,VN1375,11-05-20
VN1395,11-05-20,VN1395,11-05-20
VN1397,11-05-20,VN1397,11-05-20
VN1401,11-05-20,VN1401,11-05-20
VN1461,11-05-20,VN1461,11-05-20
VN1463,11-05-20,VN1463,11-05-20
VN1824,11-05-20,VN1824,11-05-20
VN1826,11-05-20,VN1826,11-05-20
VN1828,11-05-20,VN1828,11-05-20
VN207,11-05-20,VN207,11-05-20
VN209,11-05-20,VN209,11-05-20
VN211,11-05-20,VN211,11-05-20
VN215,11-05-20,VN215,11-05-20
VN217,11-05-20,VN217,11-05-20
VN221,11-05-20,VN221,11-05-20
VN237,11-05-20,VN237,11-05-20
VN243,11-05-20,VN243,11-05-20
VN251,11-05-20,VN251,11-05-20
VN257,11-05-20,VN257,11-05-20
