flight,date,flightO,dateO
VN7263,28-06-20,VN7263,28-06-20
VN7269,28-06-20,VN7269,28-06-20
VN7273,28-06-20,VN7273,28-06-20
VN7275,28-06-20,VN7275,28-06-20
VN7281,28-06-20,VN7281,28-06-20
VN7375,28-06-20,VN7375,28-06-20
VN7387,28-06-20,VN7387,28-06-20
VN7393,28-06-20,VN7393,28-06-20
VN7415,28-06-20,VN7415,28-06-20
VN7465,28-06-20,VN7465,28-06-20
VN7826,28-06-20,VN7826,28-06-20
VN7828,28-06-20,VN7828,28-06-20
VN7834,28-06-20,VN7834,28-06-20
VN8068,28-06-20,VN8068,28-06-20
VN8076,28-06-20,VN8076,28-06-20
VN8084,28-06-20,VN8084,28-06-20
VN8094,28-06-20,VN8094,28-06-20
AI1344,29-06-20,AI1344,29-06-20
BL302,29-06-20,BL302,29-06-20
BL318,29-06-20,BL318,29-06-20
BL320,29-06-20,BL320,29-06-20
BL425,29-06-20,BL425,29-06-20
BL443,29-06-20,BL443,29-06-20
BL447,29-06-20,BL447,29-06-20
BL453,29-06-20,BL453,29-06-20
BL465,29-06-20,BL465,29-06-20
BL517,29-06-20,BL517,29-06-20
BL543,29-06-20,BL543,29-06-20
BL565,29-06-20,BL565,29-06-20
BL671,29-06-20,BL671,29-06-20
BL679,29-06-20,BL679,29-06-20
BL681,29-06-20,BL681,29-06-20
BL741,29-06-20,BL741,29-06-20
BL751,29-06-20,BL751,29-06-20
BL757,29-06-20,BL757,29-06-20
BL765,29-06-20,BL765,29-06-20
BL769,29-06-20,BL769,29-06-20
BL775,29-06-20,BL775,29-06-20
BL777,29-06-20,BL777,29-06-20
BL783,29-06-20,BL783,29-06-20
BL789,29-06-20,BL789,29-06-20
BR391,29-06-20,BR391,29-06-20
BR395,29-06-20,BR395,29-06-20
CI781,29-06-20,CI781,29-06-20
CI783,29-06-20,CI783,29-06-20
CX767,29-06-20,CX767,29-06-20
CX799,29-06-20,CX799,29-06-20
CZ5219,29-06-20,CZ5219,29-06-20
FX5775,29-06-20,FX5775,29-06-20
KE683,29-06-20,KE683,29-06-20
LD562,29-06-20,LD562,29-06-20
MU7053,29-06-20,MU7053,29-06-20
NH833,29-06-20,NH833,29-06-20
QH1123,29-06-20,QH1123,29-06-20
QH1153,29-06-20,QH1153,29-06-20
QH1155,29-06-20,QH1155,29-06-20
QH1157,29-06-20,QH1157,29-06-20
QH1173,29-06-20,QH1173,29-06-20
QH1175,29-06-20,QH1175,29-06-20
QH151,29-06-20,QH151,29-06-20
QH1522,29-06-20,QH1522,29-06-20
QH1524,29-06-20,QH1524,29-06-20
QH153,29-06-20,QH153,29-06-20
QH1541,29-06-20,QH1541,29-06-20
QH1545,29-06-20,QH1545,29-06-20
QH157,29-06-20,QH157,29-06-20
QH201,29-06-20,QH201,29-06-20
QH203,29-06-20,QH203,29-06-20
QH205,29-06-20,QH205,29-06-20
QH207,29-06-20,QH207,29-06-20
QH211,29-06-20,QH211,29-06-20
QH213,29-06-20,QH213,29-06-20
QH215,29-06-20,QH215,29-06-20
QH219,29-06-20,QH219,29-06-20
QR8972,29-06-20,QR8972,29-06-20
SQ178,29-06-20,SQ178,29-06-20
VJ121,29-06-20,VJ121,29-06-20
VJ123,29-06-20,VJ123,29-06-20
VJ125,29-06-20,VJ125,29-06-20
VJ127,29-06-20,VJ127,29-06-20
VJ131,29-06-20,VJ131,29-06-20
VJ137,29-06-20,VJ137,29-06-20
VJ139,29-06-20,VJ139,29-06-20
VJ141,29-06-20,VJ141,29-06-20
VJ145,29-06-20,VJ145,29-06-20
VJ151,29-06-20,VJ151,29-06-20
VJ153,29-06-20,VJ153,29-06-20
VJ165,29-06-20,VJ165,29-06-20
VJ167,29-06-20,VJ167,29-06-20
VJ189,29-06-20,VJ189,29-06-20
VJ191,29-06-20,VJ191,29-06-20
VJ207,29-06-20,VJ207,29-06-20
VJ209,29-06-20,VJ209,29-06-20
VJ211,29-06-20,VJ211,29-06-20
VJ213,29-06-20,VJ213,29-06-20
VJ217,29-06-20,VJ217,29-06-20
VJ221,29-06-20,VJ221,29-06-20
VJ225,29-06-20,VJ225,29-06-20
VJ231,29-06-20,VJ231,29-06-20
VJ241,29-06-20,VJ241,29-06-20
VJ243,29-06-20,VJ243,29-06-20
VJ245,29-06-20,VJ245,29-06-20
VJ249,29-06-20,VJ249,29-06-20
VJ261,29-06-20,VJ261,29-06-20
VJ263,29-06-20,VJ263,29-06-20
VJ271,29-06-20,VJ271,29-06-20
VJ273,29-06-20,VJ273,29-06-20
VJ277,29-06-20,VJ277,29-06-20
VJ281,29-06-20,VJ281,29-06-20
VJ287,29-06-20,VJ287,29-06-20
VJ301,29-06-20,VJ301,29-06-20
VJ303,29-06-20,VJ303,29-06-20
VJ305,29-06-20,VJ305,29-06-20
VJ307,29-06-20,VJ307,29-06-20
VJ309,29-06-20,VJ309,29-06-20
VJ311,29-06-20,VJ311,29-06-20
VJ320,29-06-20,VJ320,29-06-20
VJ322,29-06-20,VJ322,29-06-20
VJ324,29-06-20,VJ324,29-06-20
VJ326,29-06-20,VJ326,29-06-20
VJ328,29-06-20,VJ328,29-06-20
VJ334,29-06-20,VJ334,29-06-20
VJ336,29-06-20,VJ336,29-06-20
VJ338,29-06-20,VJ338,29-06-20
VJ371,29-06-20,VJ371,29-06-20
VJ373,29-06-20,VJ373,29-06-20
VJ375,29-06-20,VJ375,29-06-20
VJ377,29-06-20,VJ377,29-06-20
VJ381,29-06-20,VJ381,29-06-20
VJ383,29-06-20,VJ383,29-06-20
VJ387,29-06-20,VJ387,29-06-20
VJ621,29-06-20,VJ621,29-06-20
VJ623,29-06-20,VJ623,29-06-20
VJ625,29-06-20,VJ625,29-06-20
VJ627,29-06-20,VJ627,29-06-20
VJ629,29-06-20,VJ629,29-06-20
VJ631,29-06-20,VJ631,29-06-20
VJ637,29-06-20,VJ637,29-06-20
VJ641,29-06-20,VJ641,29-06-20
VJ643,29-06-20,VJ643,29-06-20
VJ645,29-06-20,VJ645,29-06-20
VJ647,29-06-20,VJ647,29-06-20
VJ689,29-06-20,VJ689,29-06-20
VN109,29-06-20,VN109,29-06-20
VN115,29-06-20,VN115,29-06-20
VN1183,29-06-20,VN1183,29-06-20
VN1185,29-06-20,VN1185,29-06-20
VN1187,29-06-20,VN1187,29-06-20
VN1189,29-06-20,VN1189,29-06-20
VN119,29-06-20,VN119,29-06-20
VN1193,29-06-20,VN1193,29-06-20
VN1195,29-06-20,VN1195,29-06-20
VN121,29-06-20,VN121,29-06-20
VN123,29-06-20,VN123,29-06-20
VN125,29-06-20,VN125,29-06-20
VN1261,29-06-20,VN1261,29-06-20
VN1263,29-06-20,VN1263,29-06-20
VN1265,29-06-20,VN1265,29-06-20
VN1267,29-06-20,VN1267,29-06-20
VN1269,29-06-20,VN1269,29-06-20
VN127,29-06-20,VN127,29-06-20
VN1271,29-06-20,VN1271,29-06-20
VN1275,29-06-20,VN1275,29-06-20
VN1279,29-06-20,VN1279,29-06-20
VN131,29-06-20,VN131,29-06-20
VN1371,29-06-20,VN1371,29-06-20
VN1373,29-06-20,VN1373,29-06-20
VN1375,29-06-20,VN1375,29-06-20
VN1379,29-06-20,VN1379,29-06-20
VN1393,29-06-20,VN1393,29-06-20
VN1395,29-06-20,VN1395,29-06-20
VN1397,29-06-20,VN1397,29-06-20
VN1399,29-06-20,VN1399,29-06-20
VN1401,29-06-20,VN1401,29-06-20
VN141,29-06-20,VN141,29-06-20
VN1415,29-06-20,VN1415,29-06-20
VN1427,29-06-20,VN1427,29-06-20
VN143,29-06-20,VN143,29-06-20
VN145,29-06-20,VN145,29-06-20
VN1461,29-06-20,VN1461,29-06-20
VN1465,29-06-20,VN1465,29-06-20
VN147,29-06-20,VN147,29-06-20
VN1661,29-06-20,VN1661,29-06-20
VN1820,29-06-20,VN1820,29-06-20
VN1824,29-06-20,VN1824,29-06-20
VN1826,29-06-20,VN1826,29-06-20
VN1828,29-06-20,VN1828,29-06-20
VN1830,29-06-20,VN1830,29-06-20
VN207,29-06-20,VN207,29-06-20
VN209,29-06-20,VN209,29-06-20
VN211,29-06-20,VN211,29-06-20
VN213,29-06-20,VN213,29-06-20
VN215,29-06-20,VN215,29-06-20
VN217,29-06-20,VN217,29-06-20
VN219,29-06-20,VN219,29-06-20
VN221,29-06-20,VN221,29-06-20
VN233,29-06-20,VN233,29-06-20
VN237,29-06-20,VN237,29-06-20
VN241,29-06-20,VN241,29-06-20
VN243,29-06-20,VN243,29-06-20
VN251,29-06-20,VN251,29-06-20
VN257,29-06-20,VN257,29-06-20
VN263,29-06-20,VN263,29-06-20
VN265,29-06-20,VN265,29-06-20
VN269,29-06-20,VN269,29-06-20
VN271,29-06-20,VN271,29-06-20
VN273,29-06-20,VN273,29-06-20
VN275,29-06-20,VN275,29-06-20
VN281,29-06-20,VN281,29-06-20
VN283,29-06-20,VN283,29-06-20
VN291,29-06-20,VN291,29-06-20
VN5563,29-06-20,VN5563,29-06-20
VN5564,29-06-20,VN5564,29-06-20
VN7123,29-06-20,VN7123,29-06-20
VN7375,29-06-20,VN7375,29-06-20
VN7393,29-06-20,VN7393,29-06-20
VN7465,29-06-20,VN7465,29-06-20
VN772,29-06-20,VN772,29-06-20
VN7828,29-06-20,VN7828,29-06-20
VN7872,29-06-20,VN7872,29-06-20
VZ3970,29-06-20,VZ3970,29-06-20
2Y8816,30-06-20,2Y8816,30-06-20
3S690,30-06-20,3S690,30-06-20
BL318,30-06-20,BL318,30-06-20
BL443,30-06-20,BL443,30-06-20
BL453,30-06-20,BL453,30-06-20
BL517,30-06-20,BL517,30-06-20
BL543,30-06-20,BL543,30-06-20
BL565,30-06-20,BL565,30-06-20
BL679,30-06-20,BL679,30-06-20
BL681,30-06-20,BL681,30-06-20
BL741,30-06-20,BL741,30-06-20
BL751,30-06-20,BL751,30-06-20
BL757,30-06-20,BL757,30-06-20
BL765,30-06-20,BL765,30-06-20
BL769,30-06-20,BL769,30-06-20
BL775,30-06-20,BL775,30-06-20
BL777,30-06-20,BL777,30-06-20
BL783,30-06-20,BL783,30-06-20
BL789,30-06-20,BL789,30-06-20
BR391,30-06-20,BR391,30-06-20
BR395,30-06-20,BR395,30-06-20
CI5886,30-06-20,CI5886,30-06-20
CI781,30-06-20,CI781,30-06-20
CI783,30-06-20,CI783,30-06-20
CX767,30-06-20,CX767,30-06-20
CX799,30-06-20,CX799,30-06-20
CZ489,30-06-20,CZ489,30-06-20
EK2596,30-06-20,EK2596,30-06-20
EY975,30-06-20,EY975,30-06-20
FX6002,30-06-20,FX6002,30-06-20
JL759,30-06-20,JL759,30-06-20
KE683,30-06-20,KE683,30-06-20
KE8351,30-06-20,KE8351,30-06-20
LD561,30-06-20,LD561,30-06-20
LD562,30-06-20,LD562,30-06-20
NH833,30-06-20,NH833,30-06-20
OQ2395,30-06-20,OQ2395,30-06-20
OZ735,30-06-20,OZ735,30-06-20
QH1123,30-06-20,QH1123,30-06-20
QH1153,30-06-20,QH1153,30-06-20
QH1155,30-06-20,QH1155,30-06-20
QH1173,30-06-20,QH1173,30-06-20
QH1175,30-06-20,QH1175,30-06-20
QH151,30-06-20,QH151,30-06-20
QH1522,30-06-20,QH1522,30-06-20
QH1524,30-06-20,QH1524,30-06-20
QH153,30-06-20,QH153,30-06-20
QH1541,30-06-20,QH1541,30-06-20
QH1545,30-06-20,QH1545,30-06-20
QH1971,30-06-20,QH1971,30-06-20
QH201,30-06-20,QH201,30-06-20
QH203,30-06-20,QH203,30-06-20
QH205,30-06-20,QH205,30-06-20
QH207,30-06-20,QH207,30-06-20
QH211,30-06-20,QH211,30-06-20
QH213,30-06-20,QH213,30-06-20
QH215,30-06-20,QH215,30-06-20
QH219,30-06-20,QH219,30-06-20
RH319,30-06-20,RH319,30-06-20
VJ121,30-06-20,VJ121,30-06-20
VJ123,30-06-20,VJ123,30-06-20
VJ125,30-06-20,VJ125,30-06-20
VJ127,30-06-20,VJ127,30-06-20
VJ131,30-06-20,VJ131,30-06-20
VJ137,30-06-20,VJ137,30-06-20
VJ139,30-06-20,VJ139,30-06-20
VJ143,30-06-20,VJ143,30-06-20
VJ145,30-06-20,VJ145,30-06-20
VJ153,30-06-20,VJ153,30-06-20
VJ157,30-06-20,VJ157,30-06-20
VJ167,30-06-20,VJ167,30-06-20
VJ177,30-06-20,VJ177,30-06-20
VJ191,30-06-20,VJ191,30-06-20
VJ207,30-06-20,VJ207,30-06-20
VJ211,30-06-20,VJ211,30-06-20
VJ213,30-06-20,VJ213,30-06-20
VJ217,30-06-20,VJ217,30-06-20
VJ221,30-06-20,VJ221,30-06-20
VJ225,30-06-20,VJ225,30-06-20
VJ241,30-06-20,VJ241,30-06-20
VJ243,30-06-20,VJ243,30-06-20
VJ245,30-06-20,VJ245,30-06-20
VJ249,30-06-20,VJ249,30-06-20
VJ261,30-06-20,VJ261,30-06-20
VJ263,30-06-20,VJ263,30-06-20
VJ271,30-06-20,VJ271,30-06-20
VJ273,30-06-20,VJ273,30-06-20
VJ277,30-06-20,VJ277,30-06-20
VJ281,30-06-20,VJ281,30-06-20
VJ287,30-06-20,VJ287,30-06-20
VJ301,30-06-20,VJ301,30-06-20
VJ303,30-06-20,VJ303,30-06-20
VJ305,30-06-20,VJ305,30-06-20
VJ307,30-06-20,VJ307,30-06-20
VJ309,30-06-20,VJ309,30-06-20
VJ311,30-06-20,VJ311,30-06-20
VJ320,30-06-20,VJ320,30-06-20
VJ322,30-06-20,VJ322,30-06-20
VJ324,30-06-20,VJ324,30-06-20
VJ326,30-06-20,VJ326,30-06-20
VJ328,30-06-20,VJ328,30-06-20
VJ336,30-06-20,VJ336,30-06-20
VJ373,30-06-20,VJ373,30-06-20
VJ375,30-06-20,VJ375,30-06-20
VJ377,30-06-20,VJ377,30-06-20
VJ381,30-06-20,VJ381,30-06-20
VJ383,30-06-20,VJ383,30-06-20
VJ387,30-06-20,VJ387,30-06-20
VJ6131,30-06-20,VJ6131,30-06-20
VJ6137,30-06-20,VJ6137,30-06-20
VJ621,30-06-20,VJ621,30-06-20
VJ623,30-06-20,VJ623,30-06-20
VJ625,30-06-20,VJ625,30-06-20
VJ627,30-06-20,VJ627,30-06-20
VJ629,30-06-20,VJ629,30-06-20
VJ631,30-06-20,VJ631,30-06-20
VJ637,30-06-20,VJ637,30-06-20
VJ643,30-06-20,VJ643,30-06-20
VJ645,30-06-20,VJ645,30-06-20
VJ647,30-06-20,VJ647,30-06-20
VN109,30-06-20,VN109,30-06-20
VN115,30-06-20,VN115,30-06-20
VN1183,30-06-20,VN1183,30-06-20
VN1185,30-06-20,VN1185,30-06-20
VN1187,30-06-20,VN1187,30-06-20
VN1189,30-06-20,VN1189,30-06-20
VN119,30-06-20,VN119,30-06-20
VN1193,30-06-20,VN1193,30-06-20
VN1195,30-06-20,VN1195,30-06-20
VN121,30-06-20,VN121,30-06-20
VN123,30-06-20,VN123,30-06-20
VN125,30-06-20,VN125,30-06-20
VN1261,30-06-20,VN1261,30-06-20
VN1263,30-06-20,VN1263,30-06-20
VN1265,30-06-20,VN1265,30-06-20
VN1267,30-06-20,VN1267,30-06-20
VN1269,30-06-20,VN1269,30-06-20
VN127,30-06-20,VN127,30-06-20
VN1271,30-06-20,VN1271,30-06-20
VN1275,30-06-20,VN1275,30-06-20
VN1279,30-06-20,VN1279,30-06-20
VN131,30-06-20,VN131,30-06-20
VN1371,30-06-20,VN1371,30-06-20
VN1373,30-06-20,VN1373,30-06-20
VN1375,30-06-20,VN1375,30-06-20
VN1379,30-06-20,VN1379,30-06-20
VN1395,30-06-20,VN1395,30-06-20
VN1397,30-06-20,VN1397,30-06-20
VN1399,30-06-20,VN1399,30-06-20
VN1401,30-06-20,VN1401,30-06-20
VN141,30-06-20,VN141,30-06-20
VN1427,30-06-20,VN1427,30-06-20
VN143,30-06-20,VN143,30-06-20
VN145,30-06-20,VN145,30-06-20
VN1461,30-06-20,VN1461,30-06-20
VN1465,30-06-20,VN1465,30-06-20
VN1661,30-06-20,VN1661,30-06-20
VN1820,30-06-20,VN1820,30-06-20
VN1822,30-06-20,VN1822,30-06-20
VN1824,30-06-20,VN1824,30-06-20
VN1826,30-06-20,VN1826,30-06-20
VN1828,30-06-20,VN1828,30-06-20
VN1830,30-06-20,VN1830,30-06-20
VN1832,30-06-20,VN1832,30-06-20
VN207,30-06-20,VN207,30-06-20
VN209,30-06-20,VN209,30-06-20
VN211,30-06-20,VN211,30-06-20
VN213,30-06-20,VN213,30-06-20
VN215,30-06-20,VN215,30-06-20
VN217,30-06-20,VN217,30-06-20
VN219,30-06-20,VN219,30-06-20
VN221,30-06-20,VN221,30-06-20
VN233,30-06-20,VN233,30-06-20
VN237,30-06-20,VN237,30-06-20
VN243,30-06-20,VN243,30-06-20
VN251,30-06-20,VN251,30-06-20
VN253,30-06-20,VN253,30-06-20
VN257,30-06-20,VN257,30-06-20
VN263,30-06-20,VN263,30-06-20
VN265,30-06-20,VN265,30-06-20
VN269,30-06-20,VN269,30-06-20
VN275,30-06-20,VN275,30-06-20
VN283,30-06-20,VN283,30-06-20
VN291,30-06-20,VN291,30-06-20
VN5563,30-06-20,VN5563,30-06-20
VN5564,30-06-20,VN5564,30-06-20
VN7115,30-06-20,VN7115,30-06-20
VN7123,30-06-20,VN7123,30-06-20
VN7125,30-06-20,VN7125,30-06-20
VN7375,30-06-20,VN7375,30-06-20
VN7393,30-06-20,VN7393,30-06-20
VN7465,30-06-20,VN7465,30-06-20
VN7824,30-06-20,VN7824,30-06-20
VZ3970,30-06-20,VZ3970,30-06-20
ZH8011,30-06-20,ZH8011,30-06-20
AF258,01-07-20,AF258,01-07-20
BL302,01-07-20,BL302,01-07-20
BL517,01-07-20,BL517,01-07-20
BL543,01-07-20,BL543,01-07-20
BL571,01-07-20,BL571,01-07-20
BL679,01-07-20,BL679,01-07-20
BL741,01-07-20,BL741,01-07-20
BL757,01-07-20,BL757,01-07-20
BL765,01-07-20,BL765,01-07-20
BL769,01-07-20,BL769,01-07-20
BL775,01-07-20,BL775,01-07-20
BL777,01-07-20,BL777,01-07-20
BL783,01-07-20,BL783,01-07-20
BL789,01-07-20,BL789,01-07-20
BR381,01-07-20,BR381,01-07-20
BR391,01-07-20,BR391,01-07-20
BR395,01-07-20,BR395,01-07-20
CA609,01-07-20,CA609,01-07-20
CI6879,01-07-20,CI6879,01-07-20
CI781,01-07-20,CI781,01-07-20
CI783,01-07-20,CI783,01-07-20
CX767,01-07-20,CX767,01-07-20
CX799,01-07-20,CX799,01-07-20
EY975,01-07-20,EY975,01-07-20
FX6002,01-07-20,FX6002,01-07-20
JL759,01-07-20,JL759,01-07-20
KE683,01-07-20,KE683,01-07-20
KE8351,01-07-20,KE8351,01-07-20
LD561,01-07-20,LD561,01-07-20
LD562,01-07-20,LD562,01-07-20
MU7053,01-07-20,MU7053,01-07-20
OZ735,01-07-20,OZ735,01-07-20
QH1123,01-07-20,QH1123,01-07-20
QH1155,01-07-20,QH1155,01-07-20
QH1173,01-07-20,QH1173,01-07-20
QH151,01-07-20,QH151,01-07-20
QH1524,01-07-20,QH1524,01-07-20
QH1545,01-07-20,QH1545,01-07-20
QH203,01-07-20,QH203,01-07-20
QH205,01-07-20,QH205,01-07-20
QH207,01-07-20,QH207,01-07-20
QH211,01-07-20,QH211,01-07-20
QH213,01-07-20,QH213,01-07-20
QH215,01-07-20,QH215,01-07-20
QH9316,01-07-20,QH9316,01-07-20
QR8972,01-07-20,QR8972,01-07-20
RH328,01-07-20,RH328,01-07-20
VJ121,01-07-20,VJ121,01-07-20
VJ123,01-07-20,VJ123,01-07-20
VJ125,01-07-20,VJ125,01-07-20
VJ127,01-07-20,VJ127,01-07-20
VJ137,01-07-20,VJ137,01-07-20
VJ139,01-07-20,VJ139,01-07-20
VJ153,01-07-20,VJ153,01-07-20
VJ157,01-07-20,VJ157,01-07-20
VJ159,01-07-20,VJ159,01-07-20
VJ165,01-07-20,VJ165,01-07-20
VJ167,01-07-20,VJ167,01-07-20
VJ177,01-07-20,VJ177,01-07-20
VJ189,01-07-20,VJ189,01-07-20
VJ191,01-07-20,VJ191,01-07-20
VJ207,01-07-20,VJ207,01-07-20
VJ211,01-07-20,VJ211,01-07-20
VJ213,01-07-20,VJ213,01-07-20
VJ217,01-07-20,VJ217,01-07-20
VJ221,01-07-20,VJ221,01-07-20
VJ223,01-07-20,VJ223,01-07-20
VJ241,01-07-20,VJ241,01-07-20
VJ243,01-07-20,VJ243,01-07-20
VJ245,01-07-20,VJ245,01-07-20
VJ249,01-07-20,VJ249,01-07-20
VJ251,01-07-20,VJ251,01-07-20
VJ261,01-07-20,VJ261,01-07-20
VJ263,01-07-20,VJ263,01-07-20
VJ271,01-07-20,VJ271,01-07-20
VJ273,01-07-20,VJ273,01-07-20
VJ277,01-07-20,VJ277,01-07-20
VJ281,01-07-20,VJ281,01-07-20
VJ287,01-07-20,VJ287,01-07-20
VJ301,01-07-20,VJ301,01-07-20
VJ303,01-07-20,VJ303,01-07-20
VJ305,01-07-20,VJ305,01-07-20
VJ307,01-07-20,VJ307,01-07-20
VJ309,01-07-20,VJ309,01-07-20
VJ311,01-07-20,VJ311,01-07-20
VJ320,01-07-20,VJ320,01-07-20
VJ322,01-07-20,VJ322,01-07-20
VJ324,01-07-20,VJ324,01-07-20
VJ326,01-07-20,VJ326,01-07-20
VJ328,01-07-20,VJ328,01-07-20
VJ336,01-07-20,VJ336,01-07-20
VJ338,01-07-20,VJ338,01-07-20
VJ371,01-07-20,VJ371,01-07-20
VJ373,01-07-20,VJ373,01-07-20
VJ375,01-07-20,VJ375,01-07-20
VJ383,01-07-20,VJ383,01-07-20
VJ387,01-07-20,VJ387,01-07-20
VJ6137,01-07-20,VJ6137,01-07-20
VJ621,01-07-20,VJ621,01-07-20
VJ623,01-07-20,VJ623,01-07-20
VJ625,01-07-20,VJ625,01-07-20
VJ629,01-07-20,VJ629,01-07-20
VJ631,01-07-20,VJ631,01-07-20
VJ637,01-07-20,VJ637,01-07-20
VJ641,01-07-20,VJ641,01-07-20
VJ643,01-07-20,VJ643,01-07-20
VJ647,01-07-20,VJ647,01-07-20
VN105,01-07-20,VN105,01-07-20
VN109,01-07-20,VN109,01-07-20
VN117,01-07-20,VN117,01-07-20
VN1181,01-07-20,VN1181,01-07-20
VN1183,01-07-20,VN1183,01-07-20
VN1185,01-07-20,VN1185,01-07-20
VN1187,01-07-20,VN1187,01-07-20
VN1189,01-07-20,VN1189,01-07-20
VN119,01-07-20,VN119,01-07-20
VN1191,01-07-20,VN1191,01-07-20
VN121,01-07-20,VN121,01-07-20
VN123,01-07-20,VN123,01-07-20
VN1261,01-07-20,VN1261,01-07-20
VN1263,01-07-20,VN1263,01-07-20
VN1265,01-07-20,VN1265,01-07-20
VN1267,01-07-20,VN1267,01-07-20
VN1269,01-07-20,VN1269,01-07-20
VN127,01-07-20,VN127,01-07-20
VN1271,01-07-20,VN1271,01-07-20
VN1275,01-07-20,VN1275,01-07-20
VN1279,01-07-20,VN1279,01-07-20
VN133,01-07-20,VN133,01-07-20
VN1345,01-07-20,VN1345,01-07-20
VN1371,01-07-20,VN1371,01-07-20
VN1373,01-07-20,VN1373,01-07-20
VN1375,01-07-20,VN1375,01-07-20
VN1379,01-07-20,VN1379,01-07-20
VN1393,01-07-20,VN1393,01-07-20
VN1397,01-07-20,VN1397,01-07-20
VN1399,01-07-20,VN1399,01-07-20
VN1401,01-07-20,VN1401,01-07-20
VN141,01-07-20,VN141,01-07-20
VN1461,01-07-20,VN1461,01-07-20
VN1465,01-07-20,VN1465,01-07-20
VN1661,01-07-20,VN1661,01-07-20
VN1820,01-07-20,VN1820,01-07-20
VN1824,01-07-20,VN1824,01-07-20
VN1826,01-07-20,VN1826,01-07-20
VN1828,01-07-20,VN1828,01-07-20
VN1830,01-07-20,VN1830,01-07-20
VN1832,01-07-20,VN1832,01-07-20
VN207,01-07-20,VN207,01-07-20
VN209,01-07-20,VN209,01-07-20
VN211,01-07-20,VN211,01-07-20
VN213,01-07-20,VN213,01-07-20
VN215,01-07-20,VN215,01-07-20
VN217,01-07-20,VN217,01-07-20
VN219,01-07-20,VN219,01-07-20
VN221,01-07-20,VN221,01-07-20
VN237,01-07-20,VN237,01-07-20
VN243,01-07-20,VN243,01-07-20
VN251,01-07-20,VN251,01-07-20
VN257,01-07-20,VN257,01-07-20
VN263,01-07-20,VN263,01-07-20
VN269,01-07-20,VN269,01-07-20
VN275,01-07-20,VN275,01-07-20
VN281,01-07-20,VN281,01-07-20
VN283,01-07-20,VN283,01-07-20
VN291,01-07-20,VN291,01-07-20
VN5563,01-07-20,VN5563,01-07-20
VN5564,01-07-20,VN5564,01-07-20
VN604,01-07-20,VN604,01-07-20
VN7123,01-07-20,VN7123,01-07-20
VN7133,01-07-20,VN7133,01-07-20
VN7261,01-07-20,VN7261,01-07-20
VN7371,01-07-20,VN7371,01-07-20
VN7373,01-07-20,VN7373,01-07-20
VN7401,01-07-20,VN7401,01-07-20
VN7427,01-07-20,VN7427,01-07-20
VN7465,01-07-20,VN7465,01-07-20
VN7828,01-07-20,VN7828,01-07-20
VN7872,01-07-20,VN7872,01-07-20
2Y8816,02-07-20,2Y8816,02-07-20
BL302,02-07-20,BL302,02-07-20
BL517,02-07-20,BL517,02-07-20
BL543,02-07-20,BL543,02-07-20
BL565,02-07-20,BL565,02-07-20
BL679,02-07-20,BL679,02-07-20
BL741,02-07-20,BL741,02-07-20
BL765,02-07-20,BL765,02-07-20
BL769,02-07-20,BL769,02-07-20
BL775,02-07-20,BL775,02-07-20
BL777,02-07-20,BL777,02-07-20
BL783,02-07-20,BL783,02-07-20
BL789,02-07-20,BL789,02-07-20
BR391,02-07-20,BR391,02-07-20
BR395,02-07-20,BR395,02-07-20
CI781,02-07-20,CI781,02-07-20
CI783,02-07-20,CI783,02-07-20
CX767,02-07-20,CX767,02-07-20
CX799,02-07-20,CX799,02-07-20
EK392,02-07-20,EK392,02-07-20
EY975,02-07-20,EY975,02-07-20
FX6002,02-07-20,FX6002,02-07-20
K6816,02-07-20,K6816,02-07-20
LD561,02-07-20,LD561,02-07-20
LD562,02-07-20,LD562,02-07-20
MH766,02-07-20,MH766,02-07-20
MU7053,02-07-20,MU7053,02-07-20
OZ395,02-07-20,OZ395,02-07-20
OZ735,02-07-20,OZ735,02-07-20
PR591,02-07-20,PR591,02-07-20
QH1123,02-07-20,QH1123,02-07-20
QH1155,02-07-20,QH1155,02-07-20
QH1173,02-07-20,QH1173,02-07-20
QH1313,02-07-20,QH1313,02-07-20
QH1522,02-07-20,QH1522,02-07-20
QH1524,02-07-20,QH1524,02-07-20
QH1545,02-07-20,QH1545,02-07-20
QH1971,02-07-20,QH1971,02-07-20
QH203,02-07-20,QH203,02-07-20
QH205,02-07-20,QH205,02-07-20
QH207,02-07-20,QH207,02-07-20
QH211,02-07-20,QH211,02-07-20
QH213,02-07-20,QH213,02-07-20
QH215,02-07-20,QH215,02-07-20
QR8968,02-07-20,QR8968,02-07-20
QR8970,02-07-20,QR8970,02-07-20
QR970,02-07-20,QR970,02-07-20
SQ178,02-07-20,SQ178,02-07-20
VJ121,02-07-20,VJ121,02-07-20
VJ123,02-07-20,VJ123,02-07-20
VJ125,02-07-20,VJ125,02-07-20
VJ127,02-07-20,VJ127,02-07-20
VJ137,02-07-20,VJ137,02-07-20
VJ143,02-07-20,VJ143,02-07-20
VJ153,02-07-20,VJ153,02-07-20
VJ157,02-07-20,VJ157,02-07-20
VJ165,02-07-20,VJ165,02-07-20
VJ167,02-07-20,VJ167,02-07-20
VJ177,02-07-20,VJ177,02-07-20
VJ189,02-07-20,VJ189,02-07-20
VJ191,02-07-20,VJ191,02-07-20
VJ207,02-07-20,VJ207,02-07-20
