date,flight,error
05-07-20,VJ641.csv,Multiple flights detected.
05-07-20,VN672.csv,Multiple flights detected.
07-07-20,NH833.csv,Multiple flights detected.
07-07-20,VJ159.csv,Multiple flights detected.
08-07-20,KE8389.csv,Did not land at TSN.
09-07-20,CI783.csv,Did not land.
09-07-20,CX799.csv,Did not land.
09-07-20,OZ395.csv,Did not land.
09-07-20,QH1545.csv,Did not land.
09-07-20,VJ143.csv,Did not land.
09-07-20,VJ165.csv,Did not land.
09-07-20,VJ221.csv,Did not land.
09-07-20,VJ249.csv,Did not land.
09-07-20,VJ271.csv,Did not land.
09-07-20,VJ311.csv,Did not land.
09-07-20,VN215.csv,Did not land.
10-07-20,CV8575.csv,Did not land.
11-07-20,BL757.csv,Multiple flights detected.
11-07-20,BL787.csv,Multiple flights detected.
11-07-20,VJ151.csv,Multiple flights detected.
11-07-20,VJ6213.csv,Multiple flights detected.
11-07-20,VN7119.csv,Multiple flights detected.
12-07-20,FX5194.csv,Did not land.
12-07-20,VN8704.csv,Multiple flights detected.
13-07-20,FX5775.csv,Did not land at TSN.
13-07-20,QH151.csv,Multiple flights detected.
13-07-20,VJ159.csv,Multiple flights detected.
13-07-20,VJ173.csv,Multiple flights detected.
13-07-20,VJ283.csv,Did not land.
14-07-20,FX6002.csv,Did not land at TSN.
14-07-20,NH833.csv,Multiple flights detected.
14-07-20,VJ283.csv,Multiple flights detected.
14-07-20,VJ319.csv,Multiple flights detected.
15-07-20,RPC6188.csv,Did not land at TSN.
15-07-20,VJ661.csv,Multiple flights detected.
16-07-20,BL555.csv,Multiple flights detected.
16-07-20,BL757.csv,Multiple flights detected.
16-07-20,BL769.csv,Did not land.
16-07-20,CX799.csv,Did not land.
16-07-20,EY975.csv,Multiple flights detected.
16-07-20,MU7053.csv,Multiple flights detected.
16-07-20,QH213.csv,Did not land.
16-07-20,VJ159.csv,Multiple flights detected.
16-07-20,VJ165.csv,Did not land.
16-07-20,VJ173.csv,Multiple flights detected.
16-07-20,VJ215.csv,Multiple flights detected.
16-07-20,VJ249.csv,Did not land.
16-07-20,VJ319.csv,Multiple flights detected.
16-07-20,VJ385.csv,Did not land.
16-07-20,VJ637.csv,Did not land.
16-07-20,VN1183.csv,Did not land.
16-07-20,VN215.csv,Did not land.
16-07-20,VN263.csv,Did not land.
17-07-20,CV7324.csv,Did not land.
17-07-20,CV8575.csv,Did not land.
17-07-20,VN233.csv,Did not land.
18-07-20,VJ159.csv,Multiple flights detected.
18-07-20,VJ215.csv,Multiple flights detected.
18-07-20,VJ283.csv,Multiple flights detected.
18-07-20,VJ375.csv,Multiple flights detected.
18-07-20,VJ6213.csv,Multiple flights detected.
18-07-20,VJ661.csv,Multiple flights detected.
18-07-20,VN141.csv,Multiple flights detected.
18-07-20,VN145.csv,Multiple flights detected.
18-07-20,VN291.csv,Multiple flights detected.
19-07-20,FX5194.csv,Did not land.
19-07-20,VJ143.csv,Did not land at TSN.
19-07-20,VJ6131.csv,Did not land.
19-07-20,VJ641.csv,Multiple flights detected.
19-07-20,VN1866.csv,Multiple flights detected.
20-07-20,BL757.csv,Multiple flights detected.
20-07-20,VJ243.csv,Multiple flights detected.
20-07-20,VJ319.csv,Multiple flights detected.
20-07-20,VN1349.csv,Did not land.
20-07-20,VN147.csv,Multiple flights detected.
20-07-20,VN281.csv,Multiple flights detected.
20-07-20,VN7131.csv,Multiple flights detected.
21-07-20,BL789.csv,Multiple flights detected.
21-07-20,VJ143.csv,Multiple flights detected.
21-07-20,VJ159.csv,Multiple flights detected.
21-07-20,VN221.csv,Multiple flights detected.
22-07-20,VJ215.csv,Multiple flights detected.
22-07-20,VJ6213.csv,Multiple flights detected.
22-07-20,VJ641.csv,Multiple flights detected.
22-07-20,VN8056.csv,Did not land at TSN.
22-07-20,YG9056.csv,Multiple flights detected.
23-07-20,MU7053.csv,Multiple flights detected.
23-07-20,VN1267.csv,Did not land.
23-07-20,VN8078.csv,Did not land at TSN.
24-07-20,BL555.csv,Multiple flights detected.
24-07-20,QH273.csv,Multiple flights detected.
24-07-20,RH319.csv,Multiple flights detected.
24-07-20,VJ159.csv,Multiple flights detected.
24-07-20,VJ173.csv,Multiple flights detected.
24-07-20,VJ215.csv,Multiple flights detected.
24-07-20,VJ357.csv,Multiple flights detected.
24-07-20,VN7213.csv,Multiple flights detected.
25-07-20,BL783.csv,Multiple flights detected.
25-07-20,VJ319.csv,Multiple flights detected.
25-07-20,VJ641.csv,Multiple flights detected.
25-07-20,VJ661.csv,Multiple flights detected.
26-07-20,VN7283.csv,Did not land at TSN.
27-07-20,VN277.csv,Multiple flights detected.
27-07-20,VN7133.csv,Multiple flights detected.
28-07-20,BL787.csv,Multiple flights detected.
28-07-20,VJ159.csv,Multiple flights detected.
28-07-20,VJ263.csv,Multiple flights detected.
28-07-20,VN7343.csv,Multiple flights detected.
29-07-20,FX9002.csv,Did not land.
29-07-20,LD562.csv,Did not land at TSN.
29-07-20,VJ215.csv,Multiple flights detected.
29-07-20,VJ223.csv,Multiple flights detected.
29-07-20,VJ251.csv,Did not land.
29-07-20,VJ687.csv,Did not land.
29-07-20,VN215.csv,Did not land.
29-07-20,VN8062.csv,Multiple flights detected.
30-07-20,VJ127.csv,Did not land.
30-07-20,VJ303.csv,Did not land at TSN.
30-07-20,VJ319.csv,Multiple flights detected.
30-07-20,VN1832.csv,Did not land.
31-07-20,VJ167.csv,Did not land at TSN.
01-08-20,BL787.csv,Multiple flights detected.
01-08-20,VJ6213.csv,Multiple flights detected.
02-08-20,TK6470.csv,Multiple flights detected.
02-08-20,VJ151.csv,Multiple flights detected.
02-08-20,VN409.csv,Multiple flights detected.
02-08-20,VN604.csv,Did not land.
03-08-20,BL775.csv,Multiple flights detected.
03-08-20,QH1545.csv,Multiple flights detected.
03-08-20,VJ159.csv,Multiple flights detected.
03-08-20,VJ283.csv,Multiple flights detected.
03-08-20,VJ326.csv,Did not land.
04-08-20,BL312.csv,Multiple flights detected.
04-08-20,NH833.csv,Multiple flights detected.
04-08-20,VN1393.csv,Did not land.
05-08-20,CZ489.csv,Did not land.
05-08-20,QH201.csv,Did not land.
05-08-20,VN283.csv,Did not land.
06-08-20,2Y8816.csv,Did not land.
06-08-20,VJ307.csv,Did not land.
07-08-20,BL545.csv,Did not land.
07-08-20,CZ489.csv,Did not land.
07-08-20,QH211.csv,Did not land.
07-08-20,VJ231.csv,Did not land.
07-08-20,VJ303.csv,Did not land.
07-08-20,VN1393.csv,Did not land.
07-08-20,VN1661.csv,Did not land.
07-08-20,VN650.csv,Multiple flights detected.
09-08-20,BL793.csv,Multiple flights detected.
09-08-20,FX5194.csv,Did not land.
09-08-20,VJ159.csv,Multiple flights detected.
10-08-20,BL791.csv,Did not land.
10-08-20,VJ173.csv,Did not land.
11-08-20,VN217.csv,Did not land.
11-08-20,VN7401.csv,Did not land.
12-08-20,CX767.csv,Multiple flights detected.
12-08-20,VJ7346.csv,Did not land at TSN.
13-08-20,VJ167.csv,Did not land.
14-08-20,VJ6213.csv,Multiple flights detected.
15-08-20,EY975.csv,Multiple flights detected.
15-08-20,VN1822.csv,Multiple flights detected.
16-08-20,FX5194.csv,Did not land.
19-08-20,EY975.csv,Multiple flights detected.
19-08-20,VN1189.csv,Did not land.
19-08-20,VN571.csv,Did not land.
22-08-20,VJ6213.csv,Multiple flights detected.
23-08-20,FX5194.csv,Did not land.
27-08-20,EY975.csv,Multiple flights detected.
27-08-20,VJ6137.csv,Multiple flights detected.
28-08-20,CX799.csv,Did not land.
28-08-20,EK393.csv,Did not land.
28-08-20,NH891.csv,Did not land.
28-08-20,VJ167.csv,Did not land.
28-08-20,VJ379.csv,Did not land.
28-08-20,VN1279.csv,Did not land.
28-08-20,VN269.csv,Did not land.
30-08-20,BL571.csv,Did not land.
30-08-20,BL773.csv,Did not land.
30-08-20,CX799.csv,Did not land.
30-08-20,FX5194.csv,Did not land.
30-08-20,VJ167.csv,Did not land.
30-08-20,VN1267.csv,Did not land.
30-08-20,VN215.csv,Did not land.
03-09-20,EY975.csv,Multiple flights detected.
05-09-20,TK6470.csv,Multiple flights detected.
06-09-20,FX5194.csv,Did not land.
06-09-20,VJ141.csv,Did not land.
06-09-20,VJ379.csv,Did not land.
07-09-20,QR970.csv,Multiple flights detected.
08-09-20,QH1155.csv,Did not land.
08-09-20,VJ153.csv,Did not land.
08-09-20,VN1263.csv,Did not land.
08-09-20,VN283.csv,Multiple flights detected.
09-09-20,CI783.csv,Did not land.
09-09-20,CX799.csv,Did not land.
09-09-20,VJ165.csv,Did not land.
09-09-20,VN1826.csv,Did not land.
09-09-20,VN215.csv,Did not land.
09-09-20,VN6007.csv,Did not land.
10-09-20,VJ6137.csv,Multiple flights detected.
11-09-20,VJ159.csv,Multiple flights detected.
12-09-20,CI6877.csv,Multiple flights detected.
13-09-20,FX5194.csv,Did not land.
13-09-20,KE8351.csv,Did not land.
13-09-20,OZ3951.csv,Did not land.
13-09-20,TK6470.csv,Multiple flights detected.
13-09-20,VN1279.csv,Did not land.
14-09-20,VJ189.csv,Did not land.
14-09-20,VJ307.csv,Did not land.
14-09-20,VJ326.csv,Did not land.
14-09-20,VJ379.csv,Did not land.
14-09-20,VJ645.csv,Did not land.
14-09-20,VN1267.csv,Did not land at TSN.
14-09-20,VN1349.csv,Multiple flights detected.
14-09-20,VN1401.csv,Did not land.
14-09-20,VN1427.csv,Did not land.
14-09-20,VN6514.csv,Did not land.
14-09-20,VN7397.csv,Did not land.
16-09-20,KE8351.csv,Did not land.
16-09-20,NH833.csv,Multiple flights detected.
16-09-20,QR970.csv,Multiple flights detected.
16-09-20,VJ6137.csv,Multiple flights detected.
18-09-20,VJ245.csv,Multiple flights detected.
19-09-20,QH207.csv,Multiple flights detected.
19-09-20,QR970.csv,Multiple flights detected.
19-09-20,TK6470.csv,Multiple flights detected.
20-09-20,5X146.csv,Did not land.
20-09-20,FX5194.csv,Did not land.
20-09-20,KE8351.csv,Did not land.
20-09-20,VJ127.csv,Multiple flights detected.
21-09-20,VN571.csv,Multiple flights detected.
22-09-20,NH833.csv,Multiple flights detected.
22-09-20,VJ281.csv,Multiple flights detected.
22-09-20,VN209.csv,Did not land.
23-09-20,QH207.csv,Multiple flights detected.
23-09-20,QR970.csv,Multiple flights detected.
23-09-20,VJ6137.csv,Multiple flights detected.
23-09-20,VN7211.csv,Multiple flights detected.
24-09-20,2Y8816.csv,Did not land.
24-09-20,KE683.csv,Did not land.
24-09-20,OZ735.csv,Did not land.
24-09-20,QH1545.csv,Did not land.
24-09-20,QH205.csv,Did not land.
24-09-20,VJ271.csv,Multiple flights detected.
24-09-20,VJ281.csv,Did not land.
24-09-20,VN283.csv,Did not land.
26-09-20,TK6470.csv,Multiple flights detected.
27-09-20,5X146.csv,Did not land.
27-09-20,CA609.csv,Did not land.
27-09-20,EY975.csv,Did not land.
27-09-20,FX5194.csv,Did not land.
27-09-20,KE8351.csv,Did not land.
27-09-20,QH207.csv,Did not land.
27-09-20,QR970.csv,Did not land.
27-09-20,VJ151.csv,Did not land.
27-09-20,VJ215.csv,Did not land.
27-09-20,VN7211.csv,Did not land.
27-09-20,VN7229.csv,Did not land.
28-09-20,NH833.csv,Did not land.
28-09-20,QH1175.csv,Did not land.
28-09-20,VJ133.csv,Did not land.
28-09-20,VJ159.csv,Multiple flights detected.
28-09-20,VJ197.csv,Did not land.
28-09-20,VJ247.csv,Did not land.
28-09-20,VJ271.csv,Did not land.
28-09-20,VN1395.csv,Did not land.
