flight,date,type,route,v_ABBEY,a_ABBEY,t_ABBEY,ABBEY,v_MUSEL,a_MUSEL,t_MUSEL,MUSEL,v_TAMAR,a_TAMAR,t_TAMAR,TAMAR,v_TD,a_TD,t_TD,TD,v_GUAVA,a_GUAVA,t_GUAVA,GUAVA,v_SOKOE,a_SOKOE,t_SOKOE,SOKOE,v_LIMES,a_LIMES,LIMES,entry_time,arrival_time,appear_time,appear_lat,appear_lon,appear_alt,appear_heading,appear_speed,v_CANTO,a_CANTO,t_CANTO,CANTO,v_MURRY,a_MURRY,t_MURRY,MURRY,v_SILVA,a_SILVA,t_SILVA,SILVA,h_ABBEY,v_SIERA,a_SIERA,t_SIERA,SIERA,v_BETTY,a_BETTY,t_BETTY,BETTY,v_MANGO,a_MANGO,t_MANGO,MANGO,h_BETTY,h_CANTO,v_BORDA,a_BORDA,t_BORDA,BORDA,v_ROCCA,a_ROCCA,t_ROCCA,ROCCA,h_ROCCA,h_TD,h_GUAVA,h_LIMES
KA379,2018-05-01,A333,ABBEY3A,352.7177082505953,16751.339310963223,82.81708407402039,1525170410.7132313,335.103626942064,15179.205299434223,157.18271589279175,1525170493.5303154,301.6729746716956,12195.372958635988,142.01339483261108,1525170650.7130313,288.4090512284084,11000.0,187.52302050590515,1525170792.7264261,280.7313837592582,8671.258302298786,163.608167886734,1525170980.2494466,226.9426056529692,6156.063765988905,58.99914336204529,1525171143.8576145,198.24842655257652,5033.555581485925,1525171202.8567579,1525170410.7132313,1525171202.8567579,1525170120,22.2859,115.4463,23025,268,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI919,2018-05-01,A333,ABBEY3A,276.0074512914925,13581.971843863332,70.04386258125305,1525169781.3900936,271.25871484380843,13121.938000493945,202.01001739501953,1525169851.4339561,267.0252328615153,11909.252049222265,166.20661067962646,1525170053.4439735,261.3336106174252,11000.0,193.91169810295105,1525170219.6505842,243.96953344081666,8303.50946146264,187.97337889671326,1525170413.5622823,223.05049444387836,4460.346110714856,48.344117641448975,1525170601.5356612,214.91727950418712,3697.5551553768414,1525170649.8797789,1525169781.3900936,1525170649.8797789,1525169448,22.283,115.3457,22225,268,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TG608,2018-05-01,A333,CANTO3A,,,,,,,,,,,,,,,,,,,,,,,,,231.9296903388811,5431.820773964941,1525173088.837983,1525172725.925451,1525173088.837983,1525172380,21.3846,113.3146,22875,95,352,295.53830478892996,13794.099734282543,98.2166895866394,1525172725.925451,278.8540594250822,11433.121616756911,85.60881614685059,1525172824.1421406,264.3115362049524,9375.21738749326,179.08702611923218,1525172909.7509568,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX3293,2018-05-01,B748,ABBEY3A,347.4684194599413,16260.855135173855,83.72717261314392,1525160632.2618508,332.14579962503524,15029.573184154617,158.91004705429077,1525160715.9890234,303.0642223973189,12692.660728355982,129.8799533843994,1525160874.8990705,281.1450151503628,10902.287445755748,187.78525829315186,1525161004.779024,260.404286349194,9191.178615311941,234.35689496994019,1525161192.5642822,235.88126116676116,5057.119285500522,72.91118812561035,1525161426.9211771,230.8969778880932,3963.3281280378496,1525161499.8323653,1525160632.2618508,1525161499.8323653,1525160378,22.2834,115.3573,20000,268,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HX305,2018-05-01,A333,CANTO3A,,,,,,,,,,,,,,,,,,,,,,,,,224.68690683899823,4614.014623433428,1525143803.8780167,1525143330.9921281,1525143803.8780167,1525142812,22.1131,113.5063,22425,161,378,300.9286770965881,13928.04971529792,105.16720676422119,1525143330.9921281,288.27412934266334,11719.660249246697,93.38572764396667,1525143436.159335,278.13510750443044,9678.515063391918,274.3329541683197,1525143529.5450625,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX837,2018-05-01,B77W,ABBEY3A,329.57934640412316,17743.616982275853,95.93436050415039,1525172145.351676,314.0933621018057,16198.299480921713,182.07929730415344,1525172241.2860365,284.7016287528446,13265.35320817581,146.4210240840912,1525172423.3653338,261.8735222308946,10944.665976016395,192.33214402198792,1525172569.7863579,257.3467314019621,9044.687012045219,169.81025314331055,1525172762.118502,247.493249242053,6476.7811261048155,55.331538438797,1525172931.928755,239.0307786552369,5093.492664798341,1525172987.2602935,1525172145.351676,1525172987.2602935,1525171833,22.289,115.3884,22775,272,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA951,2018-05-01,A333,ABBEY3A,308.56878360539616,15456.569781169173,98.00729703903198,1525167372.809135,303.7712236134506,14417.09844958096,186.01310968399048,1525167470.816432,294.66568677520553,12444.23213462786,149.07883167266846,1525167656.8295417,286.43218137744645,10848.444199819825,177.97124862670898,1525167805.9083734,264.81624024830353,8758.903224002674,163.17103934288025,1525167983.879622,247.15392063074117,5939.9698846533665,51.3839328289032,1525168147.0506613,228.8399462136099,4920.239200034193,1525168198.4345942,1525167372.809135,1525168198.4345942,1525166819,22.2845,115.3926,21000,268,331,,,,,,,,,,,,,243.98572087287903,,,,,,,,,,,,,,,,,,,,,,,,,,
LX138,2018-05-01,B77W,SIERA7A,,,,,,,,,,,,,,,,,,,,,,,,,223.6532358997826,4631.216782055731,1525161841.8721666,1525161230.6847942,1525161841.8721666,1525160995,22.2689,113.1667,22550,127,445,371.2221241933051,14749.845604455477,39.775551080703735,1525161403.4504242,360.6685551579834,13972.83449210893,79.73439478874207,1525161443.2259753,327.9677111575578,12776.36377286364,318.9117965698242,1525161522.96037,,389.2192009608109,19072.53607686487,172.76563000679016,1525161230.6847942,,,,,,,,,,,,,,,,,,,,,,
KE617,2018-05-01,B739,ABBEY3A,379.50714308282437,17197.321475588415,77.92792773246765,1525190417.5027442,373.93064916605164,16035.55190959409,147.90345191955566,1525190495.430672,363.346732427033,13830.569255631875,120.43282389640808,1525190643.3341238,351.2815646917907,11918.447515200363,155.34509110450745,1525190763.7669477,310.0259831544685,8582.348020515667,131.91591000556946,1525190919.1120389,274.9783155877328,5749.530171067545,56.62626600265503,1525191051.0279489,231.04414358136472,4797.6231109295695,1525191107.6542149,1525190417.5027442,1525191107.6542149,1525190132,22.2859,115.4522,22550,268,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5J112,2018-05-01,A333,BETTY2A,,,,,,,,,,,,,,,,,218.13281826630396,3797.3815152729417,22.893110036849976,1525169101.1750114,215.91410275869293,3613.3289788461193,53.678605794906616,1525169124.0681214,210.71177092628244,3181.7719063847935,1525169177.7467272,1525168300.3361435,1525169177.7467272,1525167983,21.1711,114.8936,23775,315,328,,,,,,,,,,,,,,,,,,290.68256907055036,15778.422102576116,97.49439477920532,1525168300.3361435,282.82011787174326,13262.437718957844,703.3444731235504,1525168397.8305383,,,,,,,,,,,,,,
CX764,2018-05-01,B77W,CANTO3A,,,,,,,,,,,,,,,,,,,,,,,,,234.59261198121362,4435.649723473605,1525184042.9914737,1525183542.1794257,1525184042.9914737,1525183278,21.4499,113.3286,23175,70,390,309.2133094652573,14325.402700092407,105.43256664276123,1525183542.1794257,294.0915070884273,11343.047231328714,93.40996551513672,1525183647.6119924,281.80093890666257,9039.380633178833,301.9695158004761,1525183741.0219579,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA693,2018-05-01,A320,CANTO3A,,,,,,,,,,,,,,,,,,,,,,,,,233.66998359141886,5690.097969080881,1525165979.5179524,1525165624.5426567,1525165979.5179524,1525165400,21.4489,113.3245,17625,70,419,361.33370196919174,12927.988537790556,77.64941239356995,1525165624.5426567,337.5379143539394,11119.821781500003,74.8079309463501,1525165702.192069,297.0,9625.0,202.5179524421692,1525165777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
HX265,2018-05-01,A332,ABBEY3A,274.2042630125956,13097.492457431006,101.00549030303955,1525177119.3237886,268.8208881360253,11799.251638540505,203.94916105270386,1525177220.329279,267.1849322991688,11335.73081809782,163.20240354537964,1525177424.27844,265.2628169785485,11000.0,193.3753514289856,1525177587.4808435,256.48128737823095,8779.563513209918,203.8767364025116,1525177780.856195,226.68806088171272,5400.482802703034,64.3957290649414,1525177984.7329314,207.4356697526134,4310.891743815335,1525178049.1286604,1525177119.3237886,1525178049.1286604,1525176748,22.2847,115.395,19125,269,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA641,2018-05-01,A320,ABBEY3A,345.91374783414744,17455.940435785,87.57419943809509,1525162524.6037652,333.40314790836015,15900.135060398636,166.21156859397888,1525162612.1779647,309.6586380983827,12947.292173773236,135.89306688308716,1525162778.3895333,292.5920035591395,11000.0,173.44784259796143,1525162914.2826002,279.41023248849996,8868.691668649997,181.74798011779785,1525163087.7304428,229.55016716955936,5812.75218136009,36.202330112457275,1525163269.4784229,222.92068591249412,5165.862817501177,1525163305.680753,1525162524.6037652,1525163305.680753,1525162281,22.2912,115.3569,25650,272,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7C2107,2018-05-01,B738,ABBEY3A,349.62366934612896,16431.373991250388,82.20986247062683,1525190959.782359,338.10023564596133,15524.957559956712,156.03020215034485,1525191041.9922214,316.2293355148673,13804.62456184017,133.09335136413574,1525191198.0224235,306.77071506258955,12980.732123435262,174.4647605419159,1525191331.1157749,276.28806219089006,9954.15365812033,163.37788939476013,1525191505.5805354,243.79484925263543,6844.069174375229,63.94706630706787,1525191668.9584248,230.0,5848.166644770548,1525191732.905491,1525190959.782359,1525191732.905491,1525190686,22.2844,115.3992,19450,268,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KA903,2018-05-01,A333,SIERA7A,,,,,,,,,,,,,,,,,,,,,,,,,237.4596797069044,5639.424198424453,1525186486.4131174,1525185705.9745157,1525186486.4131174,1525185497,22.3832,113.5159,25875,196,429,316.078180447467,12323.454134240106,97.80803298950195,1525186069.626156,309.3770633342196,10293.652229460233,90.17826008796692,1525186167.434189,283.9590497023501,8844.385745535252,228.8006682395935,1525186257.6124492,,406.44580923264573,18564.353713220702,363.65164041519165,1525185705.9745157,,,,,,,,,,,,,,,,,,,,,,
KA634,2018-05-01,A333,BETTY2A,,,,,,,,,,,,,,,,,268.50399429283823,6048.40434298379,202.44638419151306,1525163195.2885497,217.7787889388255,4344.469723470637,86.16664481163025,1525163397.7349339,197.71668327104774,4050.0,1525163483.9015787,1525162670.0767775,1525163483.9015787,1525162403,20.99,114.5283,21625,358,417,,,,,,,,,,,,,,,,,,363.03319102609237,13863.433266187758,76.49050188064575,1525162670.0767775,339.80403828515307,12026.79782353004,448.7212703227997,1525162746.5672793,,,,,,,,,,,,,,
CI601,2018-05-01,A333,ABBEY3A,368.2037094749086,16504.744350488152,79.87588596343994,1525135677.134132,359.2470384240027,15142.889858731563,151.60049152374268,1525135757.0100179,342.2477186251416,12558.15721718342,124.65330743789673,1525135908.6105094,330.9605057251545,11000.0,161.7185652256012,1525136033.2638168,297.63838129054363,8865.37455439046,164.4197483062744,1525136194.982382,226.00322125214961,4788.992828396132,52.56526589393616,1525136359.4021304,231.67478341681368,3811.5868656084594,1525136411.9673963,1525135677.134132,1525136411.9673963,1525135390,22.286,115.4483,21725,268,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH821,2018-05-01,B763,ABBEY3A,404.10974906917306,16285.974906917309,76.06556391716003,1525118287.313987,388.1545332348328,14690.453323483278,144.38122534751892,1525118363.379551,357.869690813783,11661.969081378298,115.78986883163452,1525118507.7607763,333.58205982469383,9233.205982469386,130.7466320991516,1525118623.550645,306.1571564973366,6490.715649733655,121.30532717704773,1525118754.2972772,280.71262445471075,3946.2624454710713,48.519131660461426,1525118875.6026044,250.20262714508831,3130.0656786272075,1525118924.121736,1525118287.313987,1525118924.121736,1525118081,22.3185,115.3475,22125,265,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX879,2018-05-01,B77W,ABBEY3A,313.5978352966862,15539.395159873016,88.14679908752441,1525170966.3872242,294.67060849916135,13998.178120645996,168.61014986038208,1525171054.5340233,260.0776540568429,11168.205270026247,166.6427948474884,1525171223.1441731,261.8889887827177,11009.7134815122,190.34597277641296,1525171389.786968,257.9640336231235,9428.869753585057,187.10740065574646,1525171580.1329408,200.90707317073273,5421.7158536585885,62.42512893676758,1525171767.2403414,187.45925173096967,4002.6225941736093,1525171829.6654704,1525170966.3872242,1525171829.6654704,1525170662,22.4102,115.4101,21825,259,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
