,day,flight,error
0,2020-05-09,BR391.csv,Did not land.
1,2020-05-09,CI781.csv,Did not land.
2,2020-05-09,CX767.csv,Did not land.
3,2020-05-09,QH201.csv,Did not land.
4,2020-05-09,VJ125.csv,Did not land.
5,2020-05-09,VJ139.csv,Did not land at TSN.
6,2020-05-09,VJ647.csv,Did not land.
7,2020-05-09,VN207.csv,Did not land.
8,2020-05-09,VN243.csv,Did not land.
9,2020-05-09,VN8052.csv,Did not land.
10,2020-05-10,FX5194.csv,Did not land at TSN.
11,2020-05-13,RH319.csv,Did not land.
12,2020-05-14,VJ211.csv,Did not land.
13,2020-05-19,VJ145.csv,Did not land.
14,2020-05-24,FX5194.csv,Did not land at TSN.
15,2020-05-24,TK6470.csv,Did not land.
16,2020-05-24,VN177.csv,Did not land at TSN.
17,2020-05-27,QH219.csv,Did not land.
18,2020-05-27,VJ625.csv,Did not land.
19,2020-05-31,FX5194.csv,Did not land at TSN.
20,2020-05-31,VJ271.csv,Did not land.
21,2020-06-02,VN237.csv,Did not land.
22,2020-06-03,BL765.csv,Did not land.
23,2020-06-03,BL769.csv,Did not land.
24,2020-06-03,CI783.csv,Did not land.
25,2020-06-03,QH219.csv,Did not land.
26,2020-06-03,VJ121.csv,Did not land.
27,2020-06-03,VJ139.csv,Did not land.
28,2020-06-03,VJ141.csv,Did not land at TSN.
29,2020-06-03,VJ211.csv,Did not land.
30,2020-06-03,VJ251.csv,Did not land.
31,2020-06-03,VJ277.csv,Did not land.
32,2020-06-03,VJ336.csv,Did not land at TSN.
33,2020-06-03,VJ863.csv,Did not land.
34,2020-06-03,VN1193.csv,Did not land.
35,2020-06-03,VN1265.csv,Did not land.
36,2020-06-03,VN1373.csv,Did not land.
37,2020-06-03,VN213.csv,Did not land.
38,2020-06-03,VN257.csv,Did not land.
39,2020-06-03,VN259.csv,Did not land.
40,2020-06-03,VN263.csv,Did not land at TSN.
41,2020-06-03,VN8072.csv,Did not land.
42,2020-06-04,BL769.csv,Did not land.
43,2020-06-04,VN8072.csv,Did not land.
44,2020-06-06,AI1344.csv,Did not land.
45,2020-06-06,BL765.csv,Did not land.
46,2020-06-06,CI783.csv,Did not land.
47,2020-06-06,QH1313.csv,Did not land.
48,2020-06-06,QH153.csv,Did not land.
49,2020-06-06,QH219.csv,Did not land.
50,2020-06-06,VJ139.csv,Did not land.
51,2020-06-06,VJ141.csv,Did not land at TSN.
52,2020-06-06,VJ143.csv,Did not land at TSN.
53,2020-06-06,VJ145.csv,Did not land at TSN.
54,2020-06-06,VJ211.csv,Did not land.
55,2020-06-06,VJ213.csv,Did not land.
56,2020-06-06,VJ336.csv,Did not land.
57,2020-06-06,VN1193.csv,Did not land.
58,2020-06-06,VN1265.csv,Did not land.
59,2020-06-06,VN127.csv,Did not land.
60,2020-06-06,VN1395.csv,Did not land.
61,2020-06-06,VN213.csv,Did not land.
62,2020-06-06,VN259.csv,Did not land.
63,2020-06-06,VN263.csv,Did not land.
64,2020-06-06,VN772.csv,Did not land.
65,2020-06-06,VN7828.csv,Did not land.
66,2020-06-06,VN8092.csv,Did not land.
67,2020-06-09,VJ159.csv,Did not land.
68,2020-06-11,VN123.csv,Did not land.
69,2020-06-14,BL769.csv,Did not land.
70,2020-06-14,CI783.csv,Did not land.
71,2020-06-14,FX49.csv,Did not land at TSN.
72,2020-06-14,FX5194.csv,Did not land.
73,2020-06-14,QH1522.csv,Did not land.
74,2020-06-14,QH1971.csv,Did not land.
75,2020-06-14,VJ121.csv,Did not land.
76,2020-06-14,VJ213.csv,Did not land.
77,2020-06-14,VJ217.csv,Did not land.
78,2020-06-14,VJ243.csv,Did not land.
79,2020-06-14,VJ263.csv,Did not land.
80,2020-06-14,VJ277.csv,Did not land.
81,2020-06-14,VJ324.csv,Did not land.
82,2020-06-14,VN121.csv,Did not land.
83,2020-06-14,VN1271.csv,Did not land.
84,2020-06-14,VN211.csv,Did not land.
85,2020-06-14,VN257.csv,Did not land.
86,2020-06-14,VN301.csv,Did not land.
87,2020-06-14,VN409.csv,Did not land.
88,2020-06-14,VN7389.csv,Did not land.
89,2020-06-15,VJ621.csv,Did not land at TSN.
90,2020-06-16,K4620.csv,Did not land.
91,2020-06-16,VJ271.csv,Did not land.
92,2020-06-17,BR395.csv,Did not land.
93,2020-06-18,VJ151.csv,Did not land.
94,2020-06-20,VJ207.csv,Did not land.
95,2020-06-21,AF258.csv,Did not land at TSN.
96,2020-06-21,FX5194.csv,Did not land.
97,2020-06-21,QH1321.csv,Did not land.
98,2020-06-21,VJ6131.csv,Did not land.
99,2020-06-24,CA609.csv,Did not land at TSN.
100,2020-06-24,VJ281.csv,Did not land.
101,2020-06-26,FX5194.csv,Did not land.
102,2020-06-26,VJ249.csv,Did not land at TSN.
103,2020-06-26,VN1830.csv,Did not land at TSN.
104,2020-06-27,VN217.csv,Did not land.
105,2020-06-28,FX5194.csv,Did not land.
106,2020-06-28,VN8060.csv,Did not land.
107,2020-06-28,VN8608.csv,Did not land.
108,2020-06-30,VN1393.csv,Did not land.
109,2020-07-01,CI784.csv,Did not land at TSN.
110,2020-07-01,VJ6131.csv,Did not land.
111,2020-07-02,KE683.csv,Did not land.
112,2020-07-02,Q6165.csv,Did not land at TSN.
113,2020-07-03,VN301.csv,Did not land.
114,2020-07-04,CI784.csv,Did not land.
115,2020-07-05,FX5194.csv,Did not land.
116,2020-07-08,KE8389.csv,Did not land at TSN.
117,2020-07-09,BL769.csv,Did not land.
118,2020-07-09,CI783.csv,Did not land.
119,2020-07-09,CX799.csv,Did not land.
120,2020-07-09,OZ395.csv,Did not land.
121,2020-07-09,QH1545.csv,Did not land.
122,2020-07-09,VJ143.csv,Did not land.
123,2020-07-09,VJ165.csv,Did not land.
124,2020-07-09,VJ167.csv,Did not land.
125,2020-07-09,VJ189.csv,Did not land.
126,2020-07-09,VJ221.csv,Did not land.
127,2020-07-09,VJ249.csv,Did not land.
128,2020-07-09,VJ271.csv,Did not land.
129,2020-07-09,VJ311.csv,Did not land.
130,2020-07-09,VJ328.csv,Did not land.
131,2020-07-09,VJ639.csv,Did not land.
132,2020-07-09,VN1183.csv,Did not land.
133,2020-07-09,VN1187.csv,Did not land.
134,2020-07-09,VN1267.csv,Did not land.
135,2020-07-09,VN1279.csv,Did not land.
136,2020-07-09,VN1379.csv,Did not land.
137,2020-07-09,VN1826.csv,Did not land.
138,2020-07-09,VN215.csv,Did not land.
139,2020-07-09,VN269.csv,Did not land.
140,2020-07-09,VN7828.csv,Did not land at TSN.
141,2020-07-09,VN8078.csv,Did not land.
142,2020-07-10,CV8575.csv,Did not land.
143,2020-07-11,VN8056.csv,Did not land at TSN.
144,2020-07-11,VN8084.csv,Did not land at TSN.
145,2020-07-11,VN8606.csv,Did not land at TSN.
146,2020-07-12,FX5194.csv,Did not land.
147,2020-07-12,VN8056.csv,Did not land at TSN.
148,2020-07-12,VN8606.csv,Did not land at TSN.
149,2020-07-13,FX5775.csv,Did not land at TSN.
150,2020-07-13,VJ283.csv,Did not land.
151,2020-07-13,VN8084.csv,Did not land at TSN.
152,2020-07-14,FX6002.csv,Did not land at TSN.
153,2020-07-15,RPC6188.csv,Did not land at TSN.
154,2020-07-15,VN8056.csv,Did not land at TSN.
155,2020-07-15,VN8084.csv,Did not land at TSN.
156,2020-07-16,BL681.csv,Did not land.
157,2020-07-16,BL769.csv,Did not land.
158,2020-07-16,BL775.csv,Did not land at TSN.
159,2020-07-16,CX799.csv,Did not land.
160,2020-07-16,QH213.csv,Did not land.
161,2020-07-16,VJ165.csv,Did not land.
162,2020-07-16,VJ167.csv,Did not land.
163,2020-07-16,VJ225.csv,Did not land.
164,2020-07-16,VJ249.csv,Did not land.
165,2020-07-16,VJ385.csv,Did not land.
166,2020-07-16,VJ627.csv,Did not land.
167,2020-07-16,VJ637.csv,Did not land.
168,2020-07-16,VN1183.csv,Did not land.
169,2020-07-16,VN1267.csv,Did not land.
170,2020-07-16,VN133.csv,Did not land.
171,2020-07-16,VN1385.csv,Did not land.
172,2020-07-16,VN1395.csv,Did not land.
173,2020-07-16,VN1397.csv,Did not land at TSN.
174,2020-07-16,VN1826.csv,Did not land.
175,2020-07-16,VN215.csv,Did not land.
176,2020-07-16,VN233.csv,Did not land at TSN.
177,2020-07-16,VN263.csv,Did not land.
178,2020-07-16,VN269.csv,Did not land.
179,2020-07-17,CV7324.csv,Did not land.
180,2020-07-17,CV8575.csv,Did not land.
181,2020-07-17,VN233.csv,Did not land.
182,2020-07-17,VN8056.csv,Did not land at TSN.
183,2020-07-17,VN8084.csv,Did not land at TSN.
184,2020-07-17,VN8086.csv,Did not land at TSN.
185,2020-07-18,VN8056.csv,Did not land at TSN.
186,2020-07-18,VN8078.csv,Did not land at TSN.
187,2020-07-19,FX5194.csv,Did not land.
188,2020-07-19,VJ143.csv,Did not land at TSN.
189,2020-07-19,VJ159.csv,Did not land at TSN.
190,2020-07-19,VJ6131.csv,Did not land.
191,2020-07-19,VN1876.csv,Did not land at TSN.
192,2020-07-19,VN8050.csv,Did not land.
193,2020-07-19,VN8056.csv,Did not land at TSN.
194,2020-07-19,VN8084.csv,Did not land at TSN.
195,2020-07-20,VN1349.csv,Did not land.
196,2020-07-21,VN8078.csv,Did not land at TSN.
197,2020-07-22,VN8056.csv,Did not land at TSN.
198,2020-07-22,VN8084.csv,Did not land at TSN.
199,2020-07-23,VN1267.csv,Did not land.
200,2020-07-23,VN8078.csv,Did not land at TSN.
