MAE,RMSE,MAPE
123.36692900569024,235.1949331828991,12.384324084709451
123.03628883529272,234.0902234883946,15.307582174691547
124.54007637046828,242.748882825841,15.206385947973871
124.87285092402685,242.875013019172,15.266133753117417
123.37341525858783,233.10610740792922,12.692131062778769
124.08450734759448,231.56843325833123,12.558608006176192
125.21958195291585,242.15214813130413,12.53187526667322
125.49315428025962,242.89258301267208,12.562751995848654
126.24744857493882,253.46995145641472,12.456718026533977
125.91251066878337,232.63268479679147,12.66292539782468
