MAE,RMSE,MAPE
118.77435766733912,219.52429186668095,12.254361568949799
121.00207544769226,232.55179535308508,14.309159609215097
121.922768715387,226.98896129085801,12.59744948298894
118.96760420762392,221.97604554664804,12.544327081173224
118.75395347689884,239.8549084544084,12.140972328644327
123.52446207971555,244.3520753438478,12.372133668724954
122.14639267896742,239.4432248957319,12.354157623882775
121.72844975045054,232.22429934151654,12.276797144635356
122.21440387421194,230.38835501510894,12.943827226995586
123.01419020273623,240.88513012179118,12.254644946204435
119.50104274648969,228.04120396643827,12.348989646606185
120.53838521223024,231.5950485525672,12.237538368887897
122.06901265118151,230.84274670732538,14.796352704313346
121.45634108352881,233.6516215678466,14.080025183544462
120.82735220287297,236.63319397954214,12.162523757168023
121.20237909821032,235.40500036780236,14.26532661195495
120.7937329433321,230.00019874164357,12.1607382971628
119.79861991936286,222.11857008075398,12.284670016172813
120.04401953305272,233.86150252018788,14.353420914265017
120.40653869191796,230.98806277189215,12.36417591018955
122.19274129684412,247.12033968378762,12.352117680077752
121.28958208547806,237.78695497725346,12.23654554876165
120.90207419739379,231.70826136877605,14.259845946689712
121.18221929014705,230.24421414081974,12.33360258109064
120.15697328830022,237.98602583098935,12.15544177522106
123.60578257230289,249.1868134351704,12.237158712616
118.72001384712283,224.17068608718205,14.257614020005077
118.79339902843532,216.22200195304018,14.274120655066728
121.59598613165743,231.05922747716,14.303415646182563
122.17154327557759,241.5160441452493,12.227128730155759
121.27814712904033,222.94814397620732,12.595594760049167
120.01389139090158,224.1122396875812,14.549959146651826
120.72769393873054,233.62822835245606,12.601183326312004
122.42859351959498,236.8354315290911,12.24381529424198
121.03457086403341,245.08251787368158,12.187997443750866
121.15171725425058,224.42367044772908,12.494474470608145
123.03124397884751,236.2979358248426,12.412338911875937
120.4233018817238,233.75708143532472,12.166001401438766
122.8949241018362,240.52025971635803,12.406303604130121
121.25819513207351,234.41490263626437,12.319465366283783
124.2584542492246,253.53741246417388,14.427046881462449
119.11883607137379,230.72495287655363,12.295259312354263
123.71255080652273,250.33522040614054,14.271825856204511
124.39602637385075,253.48358480205414,12.27709563297201
118.24060788796973,213.00003367489637,12.41682443340331
122.1007133061208,234.7012837112914,14.693843420338407
123.46825955786471,245.32075087206482,12.396195932576166
122.45987003437243,247.3686059368036,12.514706524643431
121.66094700056173,232.56633815794643,12.40850481795646
120.52692869066634,230.9597759805361,12.27576460015976
121.60733246779753,238.97028586437602,12.251217518005665
120.50070710307291,223.634881402269,12.67098137711332
121.9181796326156,237.3868405667251,14.50071938856849
117.4269897791496,216.28869112084627,12.23281092260868
119.07884978557831,217.5871623453945,12.269484643094856
125.56952831258663,255.34958213622812,12.473204007607084
119.82372230832068,223.2842007875622,12.408577788512165
119.5175435038144,232.96678311239583,14.334429057449816
121.14315722841448,229.68907850961583,12.325803869477214
118.02014452005768,226.14913525247627,12.19935086415601
123.67115028881597,244.87210311226178,12.278624418669258
116.0011754755186,213.63563612179854,12.205723519261106
123.55290401600548,249.35238899878743,14.55577872703276
119.17982078306436,237.0974867682004,12.340667719338718
121.37673303165055,227.95117606084543,12.464077363136466
120.42866293730455,220.77724838653145,12.230903491376433
123.34529030986774,249.85036529535822,12.44831707115478
121.0531277644398,227.84754276039175,12.640276190423657
119.44568781153095,231.62028523989045,12.260992417501756
121.49661442715632,245.5863032988836,12.238363079724591
119.06086055971072,223.57570692366002,12.41736912447461
124.70315444435137,244.69967266383549,12.820177109569258
121.40115043059885,228.29415065924246,12.334720354785377
122.31474322627196,241.90767230081795,12.281227591457595
118.59416801724174,222.14478457895723,12.364189541102256
120.82430615659626,227.3159263531199,12.65106539791477
122.00695991206301,234.31757192784912,12.367576380663174
120.98852086567214,240.34941481808252,12.156823208081912
121.75251222135245,241.76822301145535,12.228719641253633
123.16100855228177,239.2366262648261,14.60298292031679
116.8940674426848,215.6762798763639,14.311747908633707
120.24597929529732,240.36245259502184,12.340446783588717
121.7962582364307,232.81964876918872,12.570630707916223
119.59462848797138,229.71839298963755,12.476083444779665
122.05213840992712,244.52076935849757,14.272348408138486
121.51367441044502,231.31273647517216,12.266157946570468
121.38549472636834,243.9354660875167,12.25127679563128
123.89948533661557,241.58324300280418,12.739779730302642
120.00721915741384,229.93538116522183,12.19494973853381
118.2334117919013,227.6724998696803,14.185996658020322
117.81086216048196,217.19368727676084,12.615228599482952
120.3461002587625,220.04972253161225,12.3769877055674
126.38143591128228,240.85442523826418,12.919706723709165
121.04770532002603,228.30454206425105,12.29930900240766
124.4672265753992,241.28631770283053,14.55547514815139
