mae,mape
8.227783203,0.490370488
15.08632278,1.089891002
8.827803612,0.926846763
9.04426384,0.523731881
10.5396452,0.624528367
9.48568058,0.568899523
58.54590607,2.92388036
18.16038895,1.040100871
8.436002731,0.603502502
14.41141796,1.387993775
9.210912704,0.5618155
13.9368906,0.726497351
8.598603249,0.704856261
7.708441734,0.494879202
14.68863487,0.817103806
8.482406616,0.543522967
12.52857399,2.676119972
9.753199577,0.887638134
9.64744854,0.944356462
29.18994141,1.529969953
14.22551341,1.003325257
14.22551341,1.003325257
