timestamp,latitude,longitude,altitude,heading_angle,ground_speed,heading_angle_sine,heading_angle_cosine,transit_time
1611150494.0,1.9512,1.4779999999999944,33250.0,181.0,464.0,-0.936451400117644,0.3507973420904214,1765.0
1611150554.0,1.821200000000001,1.4680000000000035,32250.0,181.0,466.0,-0.936451400117644,0.3507973420904214,1705.0
1611150612.0,1.6912000000000003,1.4680000000000035,32000.0,181.0,477.0,-0.936451400117644,0.3507973420904214,1647.0
1611150682.0,1.5312000000000001,1.4680000000000035,32000.0,181.0,476.0,-0.936451400117644,0.3507973420904214,1577.0
1611150741.0,1.4012000000000011,1.4479999999999933,32000.0,196.0,481.0,0.9395300555699313,0.3424664577455166,1518.0
1611150796.0,1.2912,1.3880000000000052,31975.0,210.0,488.0,0.46771851834275896,-0.8838774731823718,1463.0
1611150860.0,1.1712000000000007,1.3179999999999978,30750.0,210.0,476.0,0.46771851834275896,-0.8838774731823718,1399.0
1611150919.0,1.0612000000000013,1.2579999999999956,28550.0,210.0,440.0,0.46771851834275896,-0.8838774731823718,1340.0
1611150986.0,0.9512,1.1880000000000024,26250.0,210.0,406.0,0.46771851834275896,-0.8838774731823718,1273.0
1611151047.0,0.8512000000000004,1.1280000000000001,24325.0,210.0,392.0,0.46771851834275896,-0.8838774731823718,1212.0
1611151113.0,0.7512000000000008,1.0679999999999978,22275.0,210.0,389.0,0.46771851834275896,-0.8838774731823718,1146.0
1611151166.0,0.6712000000000007,1.0180000000000007,20675.0,210.0,382.0,0.46771851834275896,-0.8838774731823718,1093.0
1611151221.0,0.5812000000000008,0.9680000000000035,19000.0,210.0,370.0,0.46771851834275896,-0.8838774731823718,1038.0
1611151280.0,0.5012000000000008,0.9179999999999922,17325.0,210.0,350.0,0.46771851834275896,-0.8838774731823718,979.0
1611151342.0,0.4112000000000009,0.867999999999995,15600.0,210.0,344.0,0.46771851834275896,-0.8838774731823718,917.0
1611151398.0,0.3312000000000008,0.8179999999999978,14075.0,210.0,340.0,0.46771851834275896,-0.8838774731823718,861.0
1611151449.0,0.27120000000000033,0.7780000000000058,12675.0,210.0,321.0,0.46771851834275896,-0.8838774731823718,810.0
1611151514.0,0.19120000000000026,0.7279999999999944,10900.0,241.0,301.0,0.7849617132764033,-0.6195442750039529,745.0
1611151573.0,0.17120000000000068,0.6479999999999961,9275.0,253.0,296.0,0.9948237286710673,-0.10161569206079699,686.0
1611151632.0,0.12119999999999997,0.5879999999999939,8000.0,201.0,272.0,-0.06189025071872073,0.9980829609135574,627.0
1611151696.0,0.05119999999999969,0.578000000000003,6475.0,216.0,258.0,0.6960584883449115,-0.7179850839697136,563.0
1611151747.0,0.031200000000000117,0.5280000000000058,5800.0,273.0,251.0,0.3132001548706699,-0.9496871395301657,512.0
1611151813.0,0.0411999999999999,0.4479999999999933,5000.0,273.0,240.0,0.3132001548706699,-0.9496871395301657,446.0
1611151872.0,0.0411999999999999,0.3780000000000001,4300.0,273.0,237.0,0.3132001548706699,-0.9496871395301657,387.0
1611151941.0,0.05119999999999969,0.3079999999999927,3500.0,273.0,230.0,0.3132001548706699,-0.9496871395301657,318.0
1611152000.0,0.05119999999999969,0.24800000000000466,2875.0,278.0,224.0,0.99952109184891,0.030944901828293042,259.0
1611152060.0,0.06120000000000125,0.17799999999999727,2275.0,279.0,222.0,0.5660827877060441,-0.8243483956816764,199.0
1611152118.0,0.05119999999999969,0.1280000000000001,2050.0,249.0,177.0,-0.727163193443649,-0.68646463135462,141.0
1611152174.0,0.031200000000000117,0.08799999999999386,1575.0,248.0,172.0,0.184752119221718,-0.982785151720906,85.0
1611152235.0,0.02120000000000033,0.04800000000000182,800.0,249.0,129.0,-0.727163193443649,-0.68646463135462,24.0
