timestamp,latitude,longitude,altitude,heading_angle,ground_speed,heading_angle_sine,heading_angle_cosine,transit_time
1604369496.0,1.9012000000000011,1.4879999999999995,38000.0,196.0,457.0,0.9395300555699313,0.3424664577455166,1613.0
1604369565.0,1.7512000000000008,1.4680000000000035,36850.0,181.0,468.0,-0.936451400117644,0.3507973420904214,1544.0
1604369615.0,1.6412000000000013,1.4680000000000035,36050.0,181.0,475.0,-0.936451400117644,0.3507973420904214,1494.0
1604369680.0,1.5012000000000008,1.4179999999999922,34975.0,207.0,487.0,-0.3383050275409778,0.9410365074429887,1429.0
1604369742.0,1.3811999999999998,1.358000000000004,32800.0,207.0,487.0,-0.3383050275409778,0.9410365074429887,1367.0
1604369800.0,1.2612000000000005,1.2980000000000018,30375.0,207.0,483.0,-0.3383050275409778,0.9410365074429887,1309.0
1604369864.0,1.1412000000000013,1.2279999999999944,27925.0,207.0,465.0,-0.3383050275409778,0.9410365074429887,1245.0
1604369922.0,1.0412,1.1779999999999973,26975.0,207.0,461.0,-0.3383050275409778,0.9410365074429887,1187.0
1604369984.0,0.9112000000000009,1.108000000000004,22875.0,207.0,439.0,-0.3383050275409778,0.9410365074429887,1125.0
1604370045.0,0.8011999999999997,1.0579999999999927,20725.0,207.0,423.0,-0.3383050275409778,0.9410365074429887,1064.0
1604370110.0,0.7012,0.9980000000000047,20225.0,207.0,420.0,-0.3383050275409778,0.9410365074429887,999.0
1604370173.0,0.5912000000000006,0.9380000000000024,16475.0,207.0,393.0,-0.3383050275409778,0.9410365074429887,936.0
1604370231.0,0.5012000000000008,0.8979999999999961,14625.0,207.0,385.0,-0.3383050275409778,0.9410365074429887,878.0
1604370292.0,0.4012000000000011,0.847999999999999,12950.0,207.0,343.0,-0.3383050275409778,0.9410365074429887,817.0
1604370349.0,0.3312000000000008,0.7980000000000018,11325.0,231.0,316.0,-0.9956841897581032,0.09280621889587708,760.0
1604370416.0,0.27120000000000033,0.7180000000000035,9825.0,229.0,308.0,0.32996236973239734,-0.9439940860834779,693.0
1604370480.0,0.21119999999999983,0.6479999999999961,8375.0,234.0,301.0,0.9988166912028082,0.048633500538969116,629.0
1604370538.0,0.18120000000000047,0.578000000000003,7425.0,248.0,283.0,0.184752119221718,-0.982785151720906,571.0
1604370596.0,0.1512000000000011,0.5079999999999956,6125.0,247.0,279.0,0.9268071855026884,-0.3755375359409301,513.0
1604370650.0,0.13119999999999976,0.4380000000000024,4975.0,248.0,275.0,0.184752119221718,-0.982785151720906,459.0
1604370709.0,0.1012000000000004,0.3780000000000001,4450.0,247.0,246.0,0.9268071855026884,-0.3755375359409301,400.0
1604370765.0,0.08120000000000083,0.31799999999999784,3975.0,248.0,241.0,0.184752119221718,-0.982785151720906,344.0
1604370819.0,0.05119999999999969,0.25799999999999557,3500.0,249.0,229.0,-0.727163193443649,-0.68646463135462,290.0
1604370869.0,0.06120000000000125,0.2079999999999984,3075.0,276.0,202.0,-0.4440856600409099,0.8959843338731037,240.0
1604370938.0,0.05119999999999969,0.14799999999999613,2650.0,250.0,170.0,-0.9705280195418053,0.24098830528525864,171.0
1604370999.0,0.0411999999999999,0.10800000000000409,1825.0,248.0,150.0,0.184752119221718,-0.982785151720906,110.0
1604371061.0,0.02120000000000033,0.06799999999999784,1075.0,250.0,140.0,-0.9705280195418053,0.24098830528525864,48.0
