timestamp,latitude,longitude,altitude,heading_angle,ground_speed,heading_angle_sine,heading_angle_cosine,transit_time
1608017100.0,1.9312000000000005,1.5180000000000007,30025.0,184.0,482.0,0.9765843832906294,-0.21513470736462095,1833.0
1608017148.0,1.821200000000001,1.5079999999999956,29975.0,184.0,482.0,0.9765843832906294,-0.21513470736462095,1785.0
1608017199.0,1.7111999999999998,1.4980000000000047,29975.0,184.0,483.0,0.9765843832906294,-0.21513470736462095,1734.0
1608017280.0,1.5312000000000001,1.4879999999999995,30000.0,184.0,481.0,0.9765843832906294,-0.21513470736462095,1653.0
1608017322.0,1.4412000000000003,1.4779999999999944,30000.0,184.0,484.0,0.9765843832906294,-0.21513470736462095,1611.0
1608017393.0,1.2812000000000001,1.4680000000000035,27550.0,184.0,477.0,0.9765843832906294,-0.21513470736462095,1540.0
1608017450.0,1.1512000000000011,1.4579999999999984,25725.0,185.0,444.0,0.346621180094276,-0.9380052012169503,1483.0
1608017503.0,1.0511999999999997,1.4380000000000024,24575.0,190.0,412.0,0.9977992786806003,0.06630685835171127,1430.0
1608017573.0,0.9212000000000007,1.4179999999999922,22300.0,192.0,392.0,-0.3549383576518463,-0.9348897059372352,1360.0
1608017608.0,0.8612000000000002,1.3979999999999961,21225.0,195.0,387.0,0.21945466799406363,0.9756226979194443,1325.0
1608017693.0,0.7211999999999996,1.358000000000004,19975.0,195.0,375.0,0.21945466799406363,0.9756226979194443,1240.0
1608017751.0,0.6212,1.328000000000003,20000.0,196.0,371.0,0.9395300555699313,0.3424664577455166,1182.0
1608017812.0,0.5212000000000003,1.2980000000000018,19150.0,195.0,359.0,0.21945466799406363,0.9756226979194443,1121.0
1608017858.0,0.45120000000000005,1.2780000000000058,18150.0,197.0,355.0,0.7958058429196471,-0.6055518643146514,1075.0
1608017932.0,0.38119999999999976,1.1880000000000024,17300.0,248.0,356.0,0.184752119221718,-0.982785151720906,1001.0
1608017987.0,0.3612000000000002,1.097999999999999,15900.0,254.0,346.0,0.45199889806298343,-0.8920184954079421,946.0
1608018045.0,0.3412000000000006,1.0079999999999956,14475.0,259.0,341.0,0.9835931839466808,0.18040079959254857,888.0
1608018103.0,0.32120000000000104,0.9179999999999922,13725.0,259.0,312.0,0.9835931839466808,0.18040079959254857,830.0
1608018158.0,0.31120000000000125,0.8379999999999939,12500.0,260.0,307.0,0.6832397038158508,-0.7301941571456378,775.0
1608018219.0,0.2911999999999999,0.7579999999999956,11300.0,258.0,298.0,0.37963562682930313,0.9251360931462582,714.0
1608018268.0,0.27120000000000033,0.6880000000000024,10250.0,248.0,292.0,0.184752119221718,-0.982785151720906,665.0
1608018336.0,0.24120000000000097,0.597999999999999,8725.0,247.0,291.0,0.9268071855026884,-0.3755375359409301,597.0
1608018388.0,0.21119999999999983,0.5379999999999967,7525.0,247.0,287.0,0.9268071855026884,-0.3755375359409301,545.0
1608018443.0,0.18120000000000047,0.4680000000000035,6275.0,248.0,280.0,0.184752119221718,-0.982785151720906,490.0
1608018504.0,0.1512000000000011,0.39799999999999613,5525.0,247.0,242.0,0.9268071855026884,-0.3755375359409301,429.0
1608018561.0,0.13119999999999976,0.33799999999999386,4200.0,248.0,235.0,0.184752119221718,-0.982785151720906,372.0
1608018618.0,0.11120000000000019,0.2780000000000058,2975.0,247.0,234.0,0.9268071855026884,-0.3755375359409301,315.0
1608018675.0,0.08120000000000083,0.22799999999999443,2500.0,247.0,205.0,0.9268071855026884,-0.3755375359409301,258.0
1608018739.0,0.06120000000000125,0.16799999999999216,2150.0,248.0,192.0,0.184752119221718,-0.982785151720906,194.0
1608018795.0,0.0411999999999999,0.1280000000000001,2150.0,248.0,183.0,0.184752119221718,-0.982785151720906,138.0
1608018857.0,0.031200000000000117,0.07800000000000296,1450.0,248.0,151.0,0.184752119221718,-0.982785151720906,76.0
1608018915.0,0.011200000000000543,0.04800000000000182,725.0,249.0,146.0,-0.727163193443649,-0.68646463135462,18.0
