timestamp,latitude,longitude,altitude,heading_angle,ground_speed,heading_angle_sine,heading_angle_cosine,transit_time
1603920609.0,1.321200000000001,1.9879999999999995,32000.0,216.0,473.0,0.6960584883449115,-0.7179850839697136,1710.0
1603920679.0,1.1912000000000003,1.8880000000000052,32025.0,216.0,473.0,0.6960584883449115,-0.7179850839697136,1640.0
1603920739.0,1.0812000000000008,1.8079999999999927,32000.0,215.0,471.0,0.9802456219572225,0.19778402522372224,1580.0
1603920799.0,0.9812000000000012,1.7379999999999995,31425.0,216.0,476.0,0.6960584883449115,-0.7179850839697136,1520.0
1603920856.0,0.8912000000000013,1.6380000000000052,30100.0,233.0,484.0,0.49873928180328125,0.8667520572726362,1463.0
1603920916.0,0.8112000000000013,1.5280000000000058,27775.0,237.0,477.0,-0.9819578697820255,-0.18909982012986337,1403.0
1603920972.0,0.7512000000000008,1.4179999999999922,26625.0,239.0,463.0,0.2366906812750767,0.9715850561826999,1347.0
1603921040.0,0.6812000000000005,1.2980000000000018,23875.0,238.0,414.0,-0.6896761131802671,0.7241179868699296,1279.0
1603921093.0,0.6311999999999998,1.2180000000000035,20950.0,238.0,396.0,-0.6896761131802671,0.7241179868699296,1226.0
1603921157.0,0.571200000000001,1.117999999999995,18025.0,238.0,385.0,-0.6896761131802671,0.7241179868699296,1162.0
1603921217.0,0.5112000000000005,1.0280000000000058,15975.0,238.0,376.0,-0.6896761131802671,0.7241179868699296,1102.0
1603921277.0,0.46119999999999983,0.9380000000000024,14250.0,238.0,360.0,-0.6896761131802671,0.7241179868699296,1042.0
1603921334.0,0.4112000000000009,0.8580000000000041,13175.0,238.0,334.0,-0.6896761131802671,0.7241179868699296,985.0
1603921392.0,0.3712,0.7780000000000058,12350.0,238.0,301.0,-0.6896761131802671,0.7241179868699296,927.0
1603921454.0,0.3312000000000008,0.7079999999999984,10750.0,238.0,267.0,-0.6896761131802671,0.7241179868699296,865.0
1603921511.0,0.2911999999999999,0.6479999999999961,9650.0,238.0,260.0,-0.6896761131802671,0.7241179868699296,808.0
1603921570.0,0.25120000000000076,0.5879999999999939,8450.0,238.0,248.0,-0.6896761131802671,0.7241179868699296,749.0
1603921629.0,0.22119999999999962,0.5280000000000058,6525.0,238.0,235.0,-0.6896761131802671,0.7241179868699296,690.0
1603921693.0,0.19120000000000026,0.4680000000000035,5175.0,245.0,192.0,-0.04421256322855966,0.9990221465276736,626.0
1603921751.0,0.17120000000000068,0.42799999999999727,4700.0,247.0,185.0,0.9268071855026884,-0.3755375359409301,568.0
1603921820.0,0.1512000000000011,0.367999999999995,3050.0,246.0,169.0,0.8167599996228085,0.5769775585030581,499.0
1603921882.0,0.13119999999999976,0.32800000000000296,2200.0,246.0,165.0,0.8167599996228085,0.5769775585030581,437.0
1603921945.0,0.11120000000000019,0.2879999999999967,2200.0,246.0,161.0,0.8167599996228085,0.5769775585030581,374.0
1603922005.0,0.09120000000000061,0.23799999999999955,2200.0,243.0,161.0,-0.8900093488562771,-0.4559422758951242,314.0
1603922061.0,0.07120000000000104,0.2079999999999984,2200.0,248.0,158.0,0.184752119221718,-0.982785151720906,258.0
1603922108.0,0.06120000000000125,0.16799999999999216,2200.0,249.0,159.0,-0.727163193443649,-0.68646463135462,211.0
1603922164.0,0.05119999999999969,0.1280000000000001,2200.0,248.0,159.0,0.184752119221718,-0.982785151720906,155.0
1603922227.0,0.031200000000000117,0.08799999999999386,1650.0,249.0,143.0,-0.727163193443649,-0.68646463135462,92.0
1603922289.0,0.02120000000000033,0.04800000000000182,875.0,249.0,149.0,-0.727163193443649,-0.68646463135462,30.0
