timestamp,latitude,longitude,altitude,heading_angle,ground_speed,heading_angle_sine,heading_angle_cosine,transit_time
1612079452.0,0.07120000000000104,-1.9519999999999982,37350.0,79.0,450.0,-0.4441126687075084,-0.8959709467909631,2314.0
1612079516.0,0.09120000000000061,-1.8220000000000027,36375.0,79.0,454.0,-0.4441126687075084,-0.8959709467909631,2250.0
1612079574.0,0.11120000000000019,-1.6920000000000073,35425.0,79.0,456.0,-0.4441126687075084,-0.8959709467909631,2192.0
1612079639.0,0.14120000000000132,-1.5619999999999976,34425.0,79.0,463.0,-0.4441126687075084,-0.8959709467909631,2127.0
1612079704.0,0.1612000000000009,-1.421999999999997,33400.0,79.0,463.0,-0.4441126687075084,-0.8959709467909631,2062.0
1612079764.0,0.18120000000000047,-1.2920000000000016,32450.0,79.0,463.0,-0.4441126687075084,-0.8959709467909631,2002.0
1612079818.0,0.21119999999999983,-1.171999999999997,29425.0,79.0,469.0,-0.4441126687075084,-0.8959709467909631,1948.0
1612079880.0,0.23120000000000118,-1.0420000000000016,26525.0,79.0,457.0,-0.4441126687075084,-0.8959709467909631,1886.0
1612079944.0,0.25120000000000076,-0.9120000000000061,25425.0,79.0,448.0,-0.4441126687075084,-0.8959709467909631,1822.0
1612079998.0,0.27120000000000033,-0.7920000000000016,24550.0,79.0,445.0,-0.4441126687075084,-0.8959709467909631,1768.0
1612080053.0,0.2812000000000001,-0.6820000000000022,23650.0,101.0,432.0,0.45202578717835057,0.8920048697881602,1713.0
1612080113.0,0.24120000000000097,-0.5720000000000027,22725.0,111.0,421.0,-0.8645514486106083,-0.5025443191453852,1653.0
1612080172.0,0.19120000000000026,-0.4620000000000033,21700.0,127.0,418.0,0.972630067242408,0.23235910202965793,1594.0
1612080240.0,0.1012000000000004,-0.3719999999999999,20650.0,137.0,408.0,-0.9425144545582509,0.33416538263076073,1526.0
1612080302.0,0.011200000000000543,-0.2920000000000016,19550.0,137.0,396.0,-0.9425144545582509,0.33416538263076073,1464.0
1612080363.0,-0.06879999999999953,-0.2219999999999942,18225.0,137.0,350.0,-0.9425144545582509,0.33416538263076073,1403.0
1612080418.0,-0.12880000000000003,-0.16200000000000614,16375.0,137.0,339.0,-0.9425144545582509,0.33416538263076073,1348.0
1612080475.0,-0.1988000000000003,-0.10200000000000387,14050.0,137.0,340.0,-0.9425144545582509,0.33416538263076073,1291.0
1612080534.0,-0.24879999999999924,-0.031999999999996476,13225.0,111.0,292.0,-0.8645514486106083,-0.5025443191453852,1232.0
1612080603.0,-0.2788000000000004,0.04800000000000182,10775.0,112.0,270.0,-0.8899956043668333,0.4559691044442761,1163.0
1612080664.0,-0.30879999999999974,0.117999999999995,8800.0,112.0,260.0,-0.8899956043668333,0.4559691044442761,1102.0
1612080719.0,-0.3387999999999991,0.17799999999999727,7575.0,111.0,256.0,-0.8645514486106083,-0.5025443191453852,1047.0
1612080783.0,-0.3287999999999993,0.24800000000000466,7125.0,76.0,242.0,0.5661076368981803,0.8243313311075577,983.0
1612080839.0,-0.30879999999999974,0.3079999999999927,7125.0,75.0,243.0,-0.38778163540943045,0.9217512697247493,927.0
1612080903.0,-0.28880000000000017,0.3780000000000001,7125.0,68.0,244.0,-0.8979276806892913,0.4401430224960407,863.0
1612080964.0,-0.25879999999999903,0.4479999999999933,7100.0,65.0,246.0,0.8268286794901034,-0.562453851238172,802.0
1612081025.0,-0.21879999999999988,0.5079999999999956,7125.0,44.0,247.0,0.017701925105413577,0.9998433086476912,741.0
1612081090.0,-0.16879999999999917,0.5480000000000018,7100.0,27.0,249.0,0.956375928404503,-0.2921388087338362,676.0
1612081154.0,-0.10879999999999868,0.5180000000000007,5950.0,299.0,260.0,-0.5215767216183704,-0.8532043855172293,612.0
1612081212.0,-0.06879999999999953,0.4680000000000035,5350.0,300.0,219.0,-0.9997558399011495,-0.022096619278683942,554.0
1612081270.0,-0.03880000000000017,0.41799999999999216,4825.0,300.0,199.0,-0.9997558399011495,-0.022096619278683942,496.0
1612081328.0,-0.018799999999998818,0.367999999999995,4325.0,300.0,196.0,-0.9997558399011495,-0.022096619278683942,438.0
1612081386.0,0.011200000000000543,0.32800000000000296,3850.0,300.0,195.0,-0.9997558399011495,-0.022096619278683942,380.0
1612081446.0,0.0411999999999999,0.2780000000000058,3350.0,300.0,191.0,-0.9997558399011495,-0.022096619278683942,320.0
1612081508.0,0.05119999999999969,0.22799999999999443,2825.0,277.0,195.0,0.5140043136735694,0.8577875993070563,258.0
1612081572.0,0.06120000000000125,0.16799999999999216,2300.0,258.0,192.0,0.37963562682930313,0.9251360931462582,194.0
1612081635.0,0.0411999999999999,0.10800000000000409,2075.0,249.0,171.0,-0.727163193443649,-0.68646463135462,131.0
1612081693.0,0.02120000000000033,0.07800000000000296,1250.0,249.0,130.0,-0.727163193443649,-0.68646463135462,73.0
1612081742.0,0.011200000000000543,0.04800000000000182,750.0,249.0,123.0,-0.727163193443649,-0.68646463135462,24.0
