timestamp,latitude,longitude,altitude,heading_angle,ground_speed,heading_angle_sine,heading_angle_cosine,transit_time
1616213496.0,1.8912000000000013,1.6679999999999922,30000.0,180.0,475.0,-0.8011526357338304,-0.5984600690578581,1641.0
1616213548.0,1.7812000000000001,1.6679999999999922,30025.0,180.0,476.0,-0.8011526357338304,-0.5984600690578581,1589.0
1616213620.0,1.6212,1.6580000000000013,30025.0,195.0,475.0,0.21945466799406363,0.9756226979194443,1517.0
1616213682.0,1.4812000000000012,1.617999999999995,29725.0,195.0,470.0,0.21945466799406363,0.9756226979194443,1455.0
1616213740.0,1.3612000000000002,1.5879999999999939,28375.0,195.0,473.0,0.21945466799406363,0.9756226979194443,1397.0
1616213790.0,1.2612000000000005,1.5579999999999927,27100.0,198.0,476.0,-0.07957859166428352,-0.9968285949694307,1347.0
1616213856.0,1.1311999999999998,1.4980000000000047,25450.0,205.0,472.0,-0.7148975077677643,-0.6992292566729736,1281.0
1616213914.0,1.0112000000000005,1.4380000000000024,23975.0,206.0,457.0,-0.97464190312541,0.22377033018717848,1223.0
1616213966.0,0.9112000000000009,1.3880000000000052,22725.0,206.0,446.0,-0.97464190312541,0.22377033018717848,1171.0
1616214030.0,0.8011999999999997,1.328000000000003,21150.0,206.0,435.0,-0.97464190312541,0.22377033018717848,1107.0
1616214081.0,0.7211999999999996,1.2680000000000007,19800.0,224.0,434.0,-0.8116209973649745,-0.5841843515845697,1056.0
1616214160.0,0.6112000000000002,1.1580000000000013,17625.0,224.0,415.0,-0.8116209973649745,-0.5841843515845697,977.0
1616214224.0,0.5212000000000003,1.0679999999999978,15600.0,225.0,414.0,-0.9300948780045254,0.36731936773024515,913.0
1616214287.0,0.45120000000000005,0.9779999999999944,13650.0,244.0,384.0,-0.8645362993442719,0.5025703802614231,850.0
1616214346.0,0.4012000000000011,0.8780000000000001,12025.0,244.0,361.0,-0.8645362993442719,0.5025703802614231,791.0
1616214403.0,0.3612000000000002,0.7980000000000018,10650.0,244.0,339.0,-0.8645362993442719,0.5025703802614231,734.0
1616214467.0,0.32120000000000104,0.7079999999999984,9575.0,244.0,309.0,-0.8645362993442719,0.5025703802614231,670.0
1616214522.0,0.2911999999999999,0.6380000000000052,8675.0,244.0,305.0,-0.8645362993442719,0.5025703802614231,615.0
1616214579.0,0.25120000000000076,0.5679999999999978,7700.0,244.0,301.0,-0.8645362993442719,0.5025703802614231,558.0
1616214640.0,0.22119999999999962,0.48799999999999955,6725.0,244.0,295.0,-0.8645362993442719,0.5025703802614231,497.0
1616214704.0,0.18120000000000047,0.40800000000000125,5675.0,244.0,287.0,-0.8645362993442719,0.5025703802614231,433.0
1616214762.0,0.1512000000000011,0.33799999999999386,4875.0,244.0,262.0,-0.8645362993442719,0.5025703802614231,375.0
1616214820.0,0.12119999999999997,0.2780000000000058,4275.0,244.0,228.0,-0.8645362993442719,0.5025703802614231,317.0
1616214878.0,0.09120000000000061,0.22799999999999443,3625.0,244.0,211.0,-0.8645362993442719,0.5025703802614231,259.0
1616214939.0,0.07120000000000104,0.17799999999999727,2925.0,245.0,206.0,-0.04421256322855966,0.9990221465276736,198.0
1616215001.0,0.05119999999999969,0.117999999999995,2250.0,249.0,184.0,-0.727163193443649,-0.68646463135462,136.0
1616215058.0,0.031200000000000117,0.07800000000000296,1450.0,248.0,150.0,0.184752119221718,-0.982785151720906,79.0
1616215120.0,0.02120000000000033,0.0379999999999967,700.0,249.0,143.0,-0.727163193443649,-0.68646463135462,17.0
